Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,1650.0,1650.0,1630.0,1645.87,2.48,63,103690,103690
11/7/2024,1631.0,1631.0,1600.0,1606.01,0.38,1234,1981820,1981820
11/6/2024,1600.0,1600.0,1600.0,1600.0,-0.83,370,592000,592000
11/5/2024,1590.0,1630.0,1590.0,1613.33,-1.02,84,135520,135520
11/4/2024,1630.0,1630.0,1630.0,1630.0,1.88,100,163000,163000
11/1/2024,1600.0,,,1600.0,0.0,0,0,0
10/31/2024,1600.0,1600.0,1600.0,1600.0,0.0,268,428800,428800
10/30/2024,1600.0,1600.0,1600.0,1600.0,-1.84,88,140800,140800
10/29/2024,1630.0,1630.0,1630.0,1630.0,0.68,10,16300,16300
10/28/2024,1600.0,,,1619.05,0.0,0,0,0
10/25/2024,1600.0,1630.0,1600.0,1619.05,-0.8,494,799810,799810
10/24/2024,1670.0,1670.0,1630.0,1632.16,0.13,185,301950,301950
10/22/2024,1630.0,1630.0,1630.0,1630.0,0.0,100,163000,163000
10/21/2024,1630.0,1630.0,1630.0,1630.0,0.0,120,195600,195600
10/18/2024,1630.0,1630.0,1630.0,1630.0,1.82,250,407500,407500
10/17/2024,1601.0,1601.0,1600.0,1600.94,-1.42,116,185709,185709
10/16/2024,1600.0,1630.0,1600.0,1623.94,1.46,297,482310,482310
10/15/2024,1600.0,,,1600.62,0.0,0,0,0
10/14/2024,1600.0,1601.0,1600.0,1600.62,-1.8,162,259300,259300
10/10/2024,1630.0,1630.0,1630.0,1630.0,0.0,10,16300,16300
10/9/2024,1630.0,1630.0,1630.0,1630.0,0.0,200,326000,326000
10/8/2024,1630.0,1630.0,1630.0,1630.0,1.88,57,92910,92910
10/7/2024,1600.0,,,1600.0,0.0,0,0,0
10/4/2024,1600.0,1600.0,1600.0,1600.0,-2.99,15,24000,24000
10/3/2024,1650.0,1650.0,1639.0,1649.25,0.6,1020,1682230,1682230
10/2/2024,1649.0,1698.0,1600.0,1639.34,-6.86,2440,3999992,3999992
10/1/2024,1760.0,,,1760.0,0.0,0,0,0
9/30/2024,1760.0,,,1760.0,0.0,0,0,0
9/27/2024,1760.0,,,1760.0,0.0,0,0,0
9/26/2024,1760.0,,,1760.0,0.0,0,0,0
9/25/2024,1760.0,,,1760.0,0.0,0,0,0
9/24/2024,1760.0,1760.0,1760.0,1760.0,-2.17,25,44000,44000
9/23/2024,1799.0,,,1799.0,0.0,0,0,0
9/20/2024,1799.0,1799.0,1799.0,1799.0,1.8,200,359800,359800
9/19/2024,1799.0,1800.0,1640.0,1767.14,7.19,495,874735,874735
9/18/2024,1679.0,,,1648.59,0.0,0,0,0
9/17/2024,1679.0,,,1648.59,0.0,0,0,0
9/16/2024,1679.0,1679.0,1600.0,1648.59,1.12,439,723730,723730
9/13/2024,1600.0,1648.0,1600.0,1630.31,1.89,293,477680,477680
9/12/2024,1600.0,1600.0,1600.0,1600.0,0.06,117,187200,187200
9/11/2024,1600.0,1600.0,1590.0,1599.12,-0.06,400,639650,639650
9/10/2024,1600.0,,,1600.0,0.0,0,0,0
9/6/2024,1600.0,1600.0,1600.0,1600.0,2.2,30,48000,48000
9/5/2024,1590.0,1590.0,1550.0,1565.6,0.04,444,695125,695125
9/4/2024,1565.0,1565.0,1565.0,1565.0,0.0,5680,8889200,8889200
9/3/2024,1565.0,1565.0,1565.0,1565.0,0.0,4883,7641895,7641895
9/2/2024,1565.0,1565.0,1565.0,1565.0,2.94,77,120505,120505
8/30/2024,1551.0,1551.0,1505.0,1520.33,0.95,75,114025,114025
8/29/2024,1546.0,1546.0,1501.0,1505.99,0.33,477,718359,718359
8/27/2024,1500.0,1510.0,1500.0,1501.0,0.07,100,150100,150100
8/26/2024,1500.0,1500.0,1500.0,1500.0,1.35,60,90000,90000
8/23/2024,1500.0,1500.0,1410.0,1480.0,1.72,90,133200,133200
8/22/2024,1455.0,1455.0,1455.0,1455.0,-2.99,525,763875,763875
8/21/2024,1500.0,,,1499.81,0.0,0,0,0
8/20/2024,1500.0,1500.0,1499.0,1499.81,-0.01,268,401950,401950
8/19/2024,1500.0,,,1500.0,0.0,0,0,0
