Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,24900.0,24999.0,24900.0,24975.96,0.1,232,5794422,5794422
11/7/2024,24998.0,24999.0,24900.0,24951.77,-0.13,109,2719743,2719743
11/6/2024,24900.0,25000.0,24900.0,24983.63,0.08,412,10293255,10293255
11/5/2024,24977.0,25000.0,24899.0,24962.5,0.32,763,19046384,19046384
11/4/2024,24897.0,24900.0,24600.0,24882.6,1.89,417,10376043,10376043
11/1/2024,24400.0,24900.0,24300.0,24419.95,1.5,1224,29890022,29890022
10/31/2024,24070.0,24070.0,24000.0,24058.49,0.39,314,7554365,7554365
10/30/2024,23969.0,23976.0,23950.0,23964.34,-0.01,962,23053698,23053698
10/29/2024,23960.0,23970.0,23960.0,23967.76,-0.01,380,9107747,15100247
10/28/2024,23960.0,23976.0,23960.0,23969.9,-0.03,1093,26199098,26199098
10/25/2024,23977.0,23979.0,23951.0,23977.61,0.01,852,20428924,20428924
10/24/2024,23978.0,23978.0,23950.0,23975.33,0.0,556,13330284,13330284
10/22/2024,23951.0,23999.0,23951.0,23976.12,-0.03,608,14577484,14577484
10/21/2024,23994.0,24000.0,23950.0,23983.19,0.17,739,17723579,17723579
10/18/2024,23970.0,23970.0,23900.0,23941.32,-0.07,690,16519514,19824614
10/17/2024,23960.0,23970.0,23920.0,23957.0,0.12,481,11523319,11523319
10/16/2024,23920.0,23990.0,23900.0,23927.66,0.0,311,7441501,7441501
10/15/2024,23989.0,23989.0,23900.0,23928.81,0.12,374,8949375,8949375
10/14/2024,23900.0,23950.0,23899.0,23901.28,0.04,220,5258282,5258282
10/10/2024,23804.0,23900.0,23803.0,23892.48,0.02,407,9724241,22225241
10/9/2024,23900.0,23950.0,23800.0,23886.66,-0.3,280,6688266,6688266
10/8/2024,23900.0,23989.0,23880.0,23959.16,0.1,275,6588768,6588768
10/7/2024,23985.0,23995.0,23900.0,23935.27,-0.08,48,1148893,1148893
10/4/2024,23900.0,23996.0,23900.0,23953.53,-0.15,292,6994431,24706431
10/3/2024,23996.0,24049.0,23902.0,23989.17,-0.28,263,6309152,11109152
10/2/2024,24049.0,24089.0,24000.0,24055.53,-0.1,543,13062151,13062151
10/1/2024,24079.0,24094.0,24050.0,24079.73,-0.01,921,22177430,22177430
9/30/2024,24096.0,24100.0,24001.0,24082.61,-0.02,779,18760352,18760352
9/27/2024,24087.0,24089.0,24087.0,24088.6,0.02,35,843101,843101
9/26/2024,24088.0,24090.0,24050.0,24083.04,-0.01,442,10644704,10644704
9/25/2024,24089.0,24090.0,24070.0,24084.98,0.21,92,2215818,2215818
9/24/2024,24050.0,24050.0,24002.0,24033.94,-0.27,439,10550901,58550901
9/23/2024,24089.0,24100.0,24089.0,24099.4,0.41,90,2168946,2168946
9/20/2024,24000.0,24000.0,24000.0,24000.0,-0.14,10,240000,240000
9/19/2024,24000.0,24090.0,23882.0,24033.98,-0.27,290,6969855,6969855
9/18/2024,24098.0,24099.0,24090.0,24097.9,0.01,187,4506308,4506308
9/17/2024,24099.0,24099.0,24000.0,24095.52,0.4,377,9084011,9084011
9/16/2024,24000.0,24000.0,23998.0,23999.29,0.03,338,8111760,8111760
9/13/2024,23990.0,23999.0,23951.0,23991.1,0.21,1079,25886400,25886400
9/12/2024,23941.0,24000.0,23930.0,23940.46,0.03,499,11946291,11946291
9/11/2024,23950.0,23950.0,23900.0,23933.03,0.23,289,6916645,6916645
9/10/2024,23940.0,23940.0,23870.0,23879.18,-0.11,98,2340160,2340160
9/6/2024,23950.0,23950.0,23870.0,23905.46,-0.1,490,11713677,11713677
9/5/2024,23949.0,23949.0,23801.0,23929.77,0.16,226,5408129,5408129
9/4/2024,23700.0,23980.0,23700.0,23892.49,-0.39,185,4420110,4420110
9/3/2024,23979.0,23999.0,23979.0,23986.45,-0.05,322,7723636,7723636
9/2/2024,23999.0,24000.0,23850.0,23997.67,0.47,254,6095408,6095408
8/30/2024,23860.0,23998.0,23800.0,23884.49,0.32,392,9362722,9362722
8/29/2024,23800.0,23900.0,23600.0,23807.41,-0.74,240,5713779,5713779
8/27/2024,23910.0,23999.0,23910.0,23984.63,0.67,326,7818990,7818990
8/26/2024,23850.0,23850.0,23800.0,23825.0,0.09,200,4765000,4765000
8/23/2024,23999.0,23999.0,23700.0,23804.63,0.78,243,5784526,5784526
8/22/2024,23649.0,23652.0,23600.0,23619.81,-0.68,151,3566592,3566592
8/21/2024,23799.0,23799.0,23700.0,23782.51,0.06,231,5493760,5493760
8/20/2024,23703.0,23800.0,23700.0,23767.91,-0.13,268,6369800,6369800
8/19/2024,23800.0,23800.0,23795.0,23798.26,-0.31,72,1713475,1713475
8/16/2024,24000.0,24001.0,23799.0,23872.3,-0.62,472,11267724,11267724
8/15/2024,24000.0,24100.0,24000.0,24021.81,0.16,452,10857859,10857859
8/14/2024,23801.0,24070.0,23801.0,23983.85,-0.65,213,5108561,5108561
8/13/2024,24080.0,24200.0,24050.0,24140.11,-0.25,324,7821396,7821396
8/12/2024,24150.0,24250.0,24001.0,24200.15,-0.25,134,3242820,3242820
8/9/2024,24250.0,24300.0,24200.0,24261.85,1.87,1020,24747083,24747083
8/8/2024,24275.0,24275.0,23200.0,23817.31,4.12,338,8050250,8050250
8/7/2024,23110.0,23110.0,22739.0,22875.78,0.11,436,9973842,9973842
8/6/2024,22745.0,23200.0,22745.0,22851.28,-2.59,332,7586624,7586624
8/5/2024,23200.0,23990.0,23100.0,23459.94,-3.38,126,2955953,2955953
8/1/2024,24000.0,24329.0,24000.0,24280.7,0.01,418,10149334,10149334
7/31/2024,24299.0,24329.0,24100.0,24277.41,2.23,586,14226564,14226564
7/30/2024,24199.0,24199.0,23105.0,23747.61,-0.54,544,12918702,12918702
7/29/2024,23671.0,24399.0,23670.0,23875.83,-2.11,388,9263823,9263823
7/26/2024,24390.0,24390.0,24390.0,24390.0,0.0,114,2780460,2780460
7/25/2024,24397.0,24479.0,24305.0,24390.56,-0.15,411,10024519,10024519
7/24/2024,24400.0,24479.0,24350.0,24428.15,0.48,867,21179207,21179207
7/23/2024,24399.0,24399.0,24202.0,24311.05,0.7,312,7585048,7585048
7/22/2024,24127.0,24200.0,24010.0,24143.2,0.6,335,8087971,8087971
7/19/2024,24010.0,24150.0,23949.0,23998.96,0.89,641,15383334,15383334
7/18/2024,23899.0,23899.0,23600.0,23787.36,1.36,360,8563451,8563451
7/17/2024,23499.0,23550.0,23302.0,23468.23,1.33,611,14339086,14339086
7/16/2024,23300.0,23300.0,23100.0,23160.42,0.78,24,555850,555850
7/15/2024,23000.0,23000.0,22949.0,22981.05,0.79,349,8020386,8020386
7/12/2024,22999.0,22999.0,22250.0,22800.42,-3.31,113,2576447,2576447
7/11/2024,23000.0,23711.0,22250.0,23581.94,-0.13,376,8866809,8866809
7/10/2024,23597.0,23899.0,23101.0,23613.65,3.09,654,15443324,15443324
7/9/2024,23100.0,23100.0,22600.0,22906.72,2.03,603,13812754,13812754
7/8/2024,22500.0,22501.0,22350.0,22451.47,0.9,866,19442970,19442970
7/5/2024,22350.0,22350.0,22200.0,22252.11,0.32,263,5852305,5852305
7/4/2024,22200.0,22200.0,22000.0,22180.13,0.18,304,6742760,6742760
7/3/2024,22150.0,22150.0,22100.0,22139.35,-0.05,392,8678624,8678624
7/2/2024,22150.0,22200.0,22000.0,22150.53,1.41,282,6246450,6246450
7/1/2024,22000.0,22000.0,21700.0,21842.91,0.66,422,9217710,9217710
6/28/2024,21700.0,21700.0,21699.0,21699.66,0.07,208,4513530,4513530
6/27/2024,21700.0,21700.0,21600.0,21683.73,0.12,184,3989807,13320807
6/26/2024,21600.0,21700.0,21600.0,21657.13,0.22,159,3443484,3443484
6/25/2024,21601.0,21700.0,21601.0,21609.91,0.07,211,4559692,4559692
6/24/2024,21550.0,21795.0,21550.0,21595.07,1.66,245,5290791,5290791
6/20/2024,21423.0,21423.0,20800.0,21242.11,2.13,256,5437979,5437979
6/19/2024,20900.0,20900.0,20749.0,20799.87,-0.29,183,3806376,3806376
6/18/2024,20750.0,21000.0,20750.0,20860.94,-2.49,397,8281792,8281792
6/17/2024,21200.0,21699.0,21200.0,21393.13,-1.54,145,3102004,3102004
6/14/2024,21500.0,21899.0,21500.0,21726.96,-0.95,599,13014448,18797948
6/13/2024,21600.0,22125.0,21550.0,21934.91,4.49,840,18425328,18425328
6/12/2024,21005.0,21011.0,20501.0,20991.71,2.71,360,7557014,7557014
6/11/2024,20600.0,20900.0,20350.0,20438.37,-0.12,246,5027840,5027840
6/10/2024,20390.0,20700.0,20001.0,20463.46,4.81,685,14017472,14017472
6/7/2024,20000.0,20000.0,19499.0,19524.25,2.12,165,3221502,3221502
6/6/2024,19000.0,19500.0,18805.0,19118.7,2.6,693,13249257,13249257
6/5/2024,18701.0,18754.0,18502.0,18633.79,1.05,503,9372794,12627794
6/4/2024,18499.0,18499.0,18300.0,18441.07,1.55,164,3024335,3024335
6/3/2024,18162.0,18162.0,18150.0,18159.22,0.0,114,2070151,18025287
5/31/2024,18150.0,18200.0,18150.0,18158.99,0.38,89,1616150,1616150
5/30/2024,18150.0,18150.0,18000.0,18090.43,-0.43,727,13151739,13151739
5/29/2024,18190.0,18300.0,18130.0,18168.98,-0.1,433,7867167,7867167
5/28/2024,18350.0,18350.0,18050.0,18187.95,0.46,55,1000337,1000337
5/27/2024,18050.0,18150.0,18000.0,18104.19,0.58,303,5485570,5485570
5/23/2024,18000.0,18150.0,17989.0,18000.31,0.17,631,11358195,11358195
5/22/2024,18000.0,18000.0,17890.0,17970.48,0.6,547,9829853,9829853
5/21/2024,17890.0,17890.0,17800.0,17862.94,1.64,473,8449172,8449172
5/20/2024,17600.0,17601.0,17500.0,17573.86,0.08,390,6853805,14844205
5/17/2024,17550.0,17600.0,17501.0,17559.54,-0.56,162,2844646,2844646
5/16/2024,17600.0,17699.0,17600.0,17659.06,-0.58,200,3531812,3531812
5/15/2024,17700.0,17850.0,17700.0,17761.55,-0.55,147,2610948,2610948
5/14/2024,17850.0,17930.0,17803.0,17860.6,-0.38,572,10216262,10216262
5/13/2024,17902.0,18000.0,17900.0,17928.0,-0.4,87,1559736,1559736
5/10/2024,18000.0,18000.0,17999.0,17999.76,0.43,322,5795924,5795924
5/9/2024,17900.0,18050.0,17900.0,17922.63,-0.58,336,6022004,6022004
5/7/2024,18089.0,18089.0,18000.0,18027.45,-0.24,326,5876950,5876950
5/2/2024,18089.0,18099.0,18000.0,18070.09,-0.11,239,4318751,4318751
4/30/2024,18100.0,18100.0,18001.0,18090.42,0.5,651,11776863,11776863
4/29/2024,18002.0,18010.0,17999.0,18000.18,0.01,872,15696157,15696157
4/26/2024,17901.0,18004.0,17901.0,17997.87,0.21,527,9484875,9484875
4/25/2024,18000.0,18002.0,17800.0,17960.06,-0.25,719,12913283,12913283
4/23/2024,18001.0,18099.0,18000.0,18005.47,0.83,338,6085848,6085848
4/22/2024,17900.0,17900.0,17750.0,17856.95,1.23,226,4035670,4035670
4/19/2024,17800.0,17800.0,17570.0,17639.5,-0.5,60,1058370,1058370
4/18/2024,17800.0,17900.0,17500.0,17727.42,-0.96,123,2180473,2180473
4/17/2024,17900.0,17900.0,17900.0,17900.0,0.44,22,393800,393800
4/16/2024,17700.0,17900.0,17700.0,17821.5,0.08,395,7039494,7039494
4/15/2024,17899.0,17899.0,17600.0,17807.92,1.8,130,2315030,2315030
4/12/2024,17898.0,17898.0,17313.0,17492.25,1.26,353,6174764,6174764
4/11/2024,17310.0,17400.0,17252.0,17275.42,-1.4,209,3610563,3610563
4/9/2024,17310.0,17900.0,17310.0,17520.58,-5.05,252,4415186,4415186
4/8/2024,18500.0,18500.0,18440.0,18453.3,0.43,1327,24487535,24487535
4/5/2024,18400.0,18400.0,18300.0,18373.87,0.3,657,12071632,20837332
4/4/2024,18350.0,18400.0,18300.0,18319.72,0.11,927,16982381,45242381
4/3/2024,18300.0,18300.0,18270.0,18299.6,0.16,764,13980894,13980894
4/2/2024,18200.0,18400.0,18200.0,18270.0,1.25,949,17338226,17338226
4/1/2024,18200.0,18200.0,18000.0,18044.76,0.54,639,11530602,11530602
3/29/2024,18000.0,18001.0,17812.0,17947.95,1.28,894,16045468,16045468
3/28/2024,17800.0,17800.0,17672.0,17720.37,-0.12,910,16125537,16125537
3/27/2024,17799.0,17800.0,17700.0,17741.9,0.46,257,4559668,4559668
3/26/2024,17699.0,17700.0,17600.0,17660.91,0.61,1546,27303762,27303762
3/25/2024,17465.0,17700.0,17465.0,17553.63,0.24,569,9988013,9988013
3/22/2024,17520.0,17521.0,17500.0,17511.61,0.63,731,12800990,12800990
3/21/2024,17450.0,17450.0,17400.0,17402.42,-0.12,1286,22379517,22379517
3/20/2024,17449.0,17500.0,17400.0,17423.81,0.06,490,8537667,8537667
3/19/2024,17351.0,17650.0,17351.0,17414.09,-0.13,64,1114502,1114502
3/18/2024,17450.0,17550.0,17400.0,17437.48,0.75,432,7532991,7532991
3/15/2024,17311.0,17350.0,17300.0,17307.48,1.39,314,5434550,5434550
3/14/2024,17151.0,17151.0,16833.0,17069.5,1.7,320,5462239,5462239
3/13/2024,16800.0,16800.0,16760.0,16784.26,0.27,875,14686225,14686225
3/12/2024,16750.0,16750.0,16700.0,16738.5,0.22,579,9691591,9691591
3/11/2024,16700.0,16750.0,16700.0,16701.79,0.19,294,4910325,4910325
3/8/2024,16600.0,16710.0,16600.0,16670.54,0.09,899,14986816,14986816
3/7/2024,16600.0,16900.0,16600.0,16655.34,-0.31,378,6295717,6295717
3/6/2024,16699.0,16760.0,16699.0,16706.54,-0.06,507,8470215,33937715
3/5/2024,16698.0,16850.0,16664.0,16717.13,-0.97,626,10464924,10464924
3/4/2024,16896.0,17000.0,16800.0,16880.15,-0.24,351,5924933,5924933
3/1/2024,16899.0,17000.0,16800.0,16921.24,-0.52,338,5719379,5719379
2/29/2024,17000.0,17185.0,17000.0,17010.44,-0.65,726,12349581,12349581
2/28/2024,17000.0,17399.0,17000.0,17121.21,-1.02,886,15169395,15169395
2/27/2024,17300.0,17400.0,17200.0,17296.82,0.4,968,16743320,16743320
2/26/2024,17198.0,17450.0,17150.0,17228.47,1.64,741,12766299,12766299
2/23/2024,17150.0,17150.0,16900.0,16950.65,1.45,1719,29138159,29138159
2/22/2024,16800.0,16810.0,16600.0,16709.04,1.32,561,9373772,9373772
2/21/2024,16599.0,16599.0,16400.0,16491.71,0.61,504,8311821,8311821
2/20/2024,16400.0,16500.0,16302.0,16391.8,-0.37,775,12703646,20903646
2/19/2024,16410.0,16500.0,16400.0,16452.03,-0.32,262,4310433,31714433
2/16/2024,16450.0,16648.0,16450.0,16504.13,-1.03,874,14424607,14424607
2/15/2024,16649.0,16680.0,16649.0,16675.65,-0.11,1183,19727297,19727297
2/14/2024,16698.0,16710.0,16600.0,16694.03,1.11,734,12253418,12253418
2/13/2024,16700.0,16700.0,16309.0,16510.17,1.29,858,14165728,14165728
2/12/2024,16300.0,16310.0,16251.0,16299.43,0.48,1794,29241182,43096182
2/9/2024,16250.0,16300.0,16150.0,16221.6,0.51,311,5044919,7459919
