Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,85001.0,85001.0,85001.0,85001.0,-0.84,10,850010,850010
11/7/2024,85700.0,85750.0,85700.0,85725.0,0.34,4,342900,342900
11/6/2024,85500.0,85500.0,85000.0,85436.17,-0.07,47,4015500,4015500
11/5/2024,85499.0,85500.0,85499.0,85499.5,0.0,4,341998,33661998
11/4/2024,85500.0,85500.0,85499.0,85499.91,0.0,11,940499,940499
11/1/2024,85500.0,85500.0,85500.0,85500.0,0.59,15,1282500,1282500
10/31/2024,85000.0,85000.0,85000.0,85000.0,0.57,754,64090000,64090000
10/30/2024,84401.0,85000.0,84401.0,84521.57,0.03,14,1183302,1183302
10/29/2024,84500.0,84501.0,84500.0,84500.12,-0.7,8,676001,676001
10/28/2024,85500.0,85500.0,85000.0,85100.0,-0.25,5,425500,425500
10/25/2024,85500.0,85500.0,85000.0,85313.88,-0.13,59,5033519,5033519
10/24/2024,85500.0,85500.0,85000.0,85428.57,0.53,7,598000,598000
10/22/2024,84500.0,85000.0,84500.0,84979.12,-0.02,24,2039499,2039499
10/21/2024,85000.0,,,85000.0,0.0,0,0,0
10/18/2024,85000.0,85000.0,85000.0,85000.0,-0.35,2,170000,170000
10/17/2024,85000.0,85500.0,85000.0,85300.24,-0.24,45,3838511,3838511
10/16/2024,85500.0,85550.0,85500.0,85503.12,-0.57,16,1368050,1368050
10/15/2024,85990.0,85990.0,85990.0,85990.0,0.11,1,85990,85990
10/14/2024,85900.0,85900.0,85899.0,85899.56,0.0,9,773096,773096
10/10/2024,85900.0,85900.0,85900.0,85900.0,-0.12,3,257700,257700
10/9/2024,86000.0,,,85999.93,0.0,0,0,0
10/8/2024,86000.0,,,85999.93,0.0,0,0,0
10/7/2024,86000.0,86000.0,85998.0,85999.93,0.0,105,9029993,9029993
10/4/2024,85999.0,86000.0,85999.0,85999.33,-0.05,3,257998,257998
10/3/2024,86000.0,86500.0,86000.0,86043.63,-0.53,35,3011527,3011527
10/2/2024,86500.0,,,86500.0,0.0,0,0,0
10/1/2024,86500.0,86500.0,86500.0,86500.0,-0.46,24,2076000,2076000
9/30/2024,86898.0,86900.0,86898.0,86899.5,-0.11,14,1216593,1216593
9/27/2024,86990.0,,,86993.44,0.0,0,0,0
9/26/2024,86990.0,87000.0,86990.0,86993.44,-0.01,32,2783790,2783790
9/25/2024,87000.0,87000.0,87000.0,87000.0,0.0,53,4611000,4611000
9/24/2024,87000.0,87000.0,87000.0,87000.0,0.0,19,1653000,1653000
9/23/2024,87001.0,87001.0,87000.0,87000.1,0.0,10,870001,870001
