Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,8000.0,,,8000.0,0.0,0,0,0
11/7/2024,8000.0,8000.0,8000.0,8000.0,3.16,5,40000,40000
11/6/2024,7710.0,,,7754.83,0.0,0,0,0
11/5/2024,7710.0,,,7754.83,0.0,0,0,0
11/4/2024,7710.0,,,7754.83,0.0,0,0,315276500
11/1/2024,7710.0,,,7754.83,0.0,0,0,0
10/31/2024,7710.0,7760.0,7710.0,7754.83,-3.06,290,2248900,2248900
10/30/2024,8000.0,8000.0,8000.0,8000.0,2.59,14,112000,564161710
10/29/2024,7900.0,,,7797.96,0.0,0,0,0
10/28/2024,7900.0,,,7797.96,0.0,0,0,0
10/25/2024,7900.0,7900.0,7700.0,7797.96,1.63,392,3056800,37868200
10/24/2024,7800.0,7800.0,7650.0,7673.19,-7.35,690,5294500,5294500
10/22/2024,7720.0,,,8282.33,0.0,0,0,9047000
10/21/2024,7720.0,,,8282.33,0.0,0,0,0
10/18/2024,7720.0,8500.0,7720.0,8282.33,-2.56,15158,125543620,125543620
10/17/2024,8500.0,8500.0,8500.0,8500.0,-2.3,25,212500,212500
10/16/2024,8700.0,8700.0,8700.0,8700.0,0.0,17,147900,147900
10/15/2024,8700.0,8700.0,8700.0,8700.0,-3.33,3,26100,26100
10/14/2024,9000.0,9000.0,9000.0,9000.0,0.0,17,153000,153000
10/10/2024,9000.0,9000.0,9000.0,9000.0,1.15,36,324000,6784000
10/9/2024,9000.0,9000.0,8751.0,8897.47,-1.37,34,302514,302514
10/8/2024,9200.0,9200.0,8800.0,9020.85,1.36,129,1163690,152099690
10/7/2024,8900.0,8900.0,8900.0,8900.0,-2.0,20,178000,144692500
10/4/2024,9100.0,9100.0,8610.0,9081.3,4.81,562,5103690,33756990
10/3/2024,8680.0,8680.0,8500.0,8664.5,0.63,329,2850620,27962140
10/2/2024,8610.0,8610.0,8610.0,8610.0,1.27,45,387450,4467450
10/1/2024,8570.0,8570.0,8480.0,8501.89,0.02,953,8102300,74670300
9/30/2024,8500.0,8500.0,8499.0,8499.94,2.12,722,6136955,48290655
9/27/2024,8400.0,8400.0,8200.0,8323.88,2.06,278,2314040,2314040
9/26/2024,8103.0,8343.0,8100.0,8156.06,0.69,193,1574119,1574119
9/25/2024,8100.0,,,8100.0,0.0,0,0,5248800
9/24/2024,8100.0,8100.0,8100.0,8100.0,0.0,173,1401300,1401300
9/23/2024,8100.0,8100.0,8100.0,8100.0,0.62,156,1263600,84407600
9/20/2024,8050.0,8050.0,8050.0,8050.0,0.32,50,402500,402500
9/19/2024,8050.0,8050.0,7800.0,8024.22,0.02,424,3402270,3402270
9/18/2024,8000.0,,,8022.87,0.0,0,0,0
9/17/2024,8000.0,,,8022.87,0.0,0,0,0
9/16/2024,8000.0,,,8022.87,0.0,0,0,0
9/13/2024,8000.0,8050.0,7990.0,8022.87,-0.34,52,417189,417189
9/12/2024,8050.0,,,8050.0,0.0,0,0,0
9/11/2024,8050.0,,,8050.0,0.0,0,0,0
9/10/2024,8050.0,,,8050.0,0.0,0,0,0
9/6/2024,8050.0,8050.0,8050.0,8050.0,1.9,361,2906050,2906050
9/5/2024,7900.0,7900.0,7900.0,7900.0,2.49,22,173800,173800
9/4/2024,7700.0,,,7707.74,0.0,0,0,2955000
9/3/2024,7700.0,,,7707.74,0.0,0,0,0
9/2/2024,7700.0,,,7707.74,0.0,0,0,0
8/30/2024,7700.0,,,7707.74,0.0,0,0,0
8/29/2024,7700.0,,,7707.74,0.0,0,0,0
8/27/2024,7700.0,7813.0,7700.0,7707.74,-1.35,73,562665,562665
8/26/2024,7750.0,7830.0,7750.0,7813.16,2.38,190,1484500,1484500
8/23/2024,7725.0,7725.0,7503.0,7631.23,1.75,1419,10828720,13101220
8/22/2024,7500.0,,,7500.0,0.0,0,0,2325000
8/21/2024,7500.0,,,7500.0,0.0,0,0,0
8/20/2024,7500.0,,,7500.0,0.0,0,0,0
8/19/2024,7500.0,,,7500.0,0.0,0,0,0
8/16/2024,7500.0,,,7500.0,0.0,0,0,0
8/15/2024,7500.0,,,7500.0,0.0,0,0,10500000
8/14/2024,7500.0,,,7500.0,0.0,0,0,0
8/13/2024,7500.0,7500.0,7500.0,7500.0,0.0,150,1125000,1125000
8/12/2024,7500.0,,,7500.0,0.0,0,0,0
8/9/2024,7500.0,,,7500.0,0.0,0,0,0
8/8/2024,7500.0,,,7500.0,0.0,0,0,0
8/7/2024,7500.0,7500.0,7500.0,7500.0,-0.92,38,285000,285000
8/6/2024,7570.0,,,7570.0,0.0,0,0,0
8/5/2024,7570.0,7570.0,7570.0,7570.0,2.99,430,3255100,3255100
8/1/2024,7350.0,,,7350.0,0.0,0,0,0
7/31/2024,7350.0,7350.0,7350.0,7350.0,0.0,80,588000,588000
7/30/2024,7350.0,7350.0,7350.0,7350.0,0.68,30,220500,4381500
7/29/2024,7300.0,7300.0,7300.0,7300.0,0.19,35,255500,255500
7/26/2024,7337.0,,,7286.2,0.0,0,0,0
7/25/2024,7337.0,7337.0,7210.0,7286.2,2.28,50,364310,364310
7/24/2024,7200.0,7200.0,7010.0,7124.0,-1.06,250,1781000,1781000
7/23/2024,7200.0,7200.0,7200.0,7200.0,-10.0,10,72000,72000
7/22/2024,8000.0,,,8000.0,0.0,0,0,0
7/19/2024,8000.0,,,8000.0,0.0,0,0,0
7/18/2024,8000.0,,,8000.0,0.0,0,0,0
7/17/2024,8000.0,8000.0,8000.0,8000.0,-2.77,10,80000,80000
7/16/2024,8228.0,8228.0,8228.0,8228.0,10.0,20,164560,164560
7/15/2024,7480.0,,,7480.0,0.0,0,0,0
7/12/2024,7480.0,,,7480.0,0.0,0,0,0
7/11/2024,7480.0,7480.0,7480.0,7480.0,10.0,15,112200,112200
7/10/2024,6800.0,,,6800.0,0.0,0,0,0
7/9/2024,6800.0,,,6800.0,0.0,0,0,0
7/8/2024,6800.0,,,6800.0,0.0,0,0,0
7/5/2024,6800.0,6800.0,6800.0,6800.0,1.54,50,340000,2380000
7/4/2024,6697.0,6697.0,6697.0,6697.0,3.0,106,709882,709882
7/3/2024,6502.0,,,6502.0,0.0,0,0,0
7/2/2024,6502.0,,,6502.0,0.0,0,0,0
7/1/2024,6502.0,,,6502.0,0.0,0,0,0
6/28/2024,6502.0,,,6502.0,0.0,0,0,0
6/27/2024,6502.0,,,6502.0,0.0,0,0,0
6/26/2024,6502.0,,,6502.0,0.0,0,0,0
6/25/2024,6502.0,6502.0,6502.0,6502.0,0.03,10,65020,65020
6/24/2024,6500.0,,,6500.0,0.0,0,0,0
6/20/2024,6500.0,,,6500.0,0.0,0,0,0
6/19/2024,6500.0,6500.0,6500.0,6500.0,0.0,5,32500,32500
6/18/2024,6500.0,6500.0,6500.0,6500.0,3.16,49,318500,318500
6/17/2024,6301.0,,,6301.0,0.0,0,0,0
6/14/2024,6301.0,,,6301.0,0.0,0,0,0
6/13/2024,6301.0,,,6301.0,0.0,0,0,0
6/12/2024,6301.0,,,6301.0,0.0,0,0,0
6/11/2024,6301.0,,,6301.0,0.0,0,0,0
6/10/2024,6301.0,6301.0,6301.0,6301.0,-1.18,2,12602,12602
6/7/2024,6500.0,,,6376.25,0.0,0,0,13882500
6/6/2024,6500.0,,,6376.25,0.0,0,0,0
6/5/2024,6500.0,6500.0,6302.0,6376.25,0.73,32,204040,14070440
6/4/2024,6330.0,6330.0,6330.0,6330.0,-2.48,25,158250,158250
6/3/2024,6500.0,,,6491.19,0.0,0,0,18087300
5/31/2024,6500.0,,,6491.19,0.0,0,0,0
5/30/2024,6500.0,6500.0,6315.0,6491.19,8.08,21,136315,4465315
5/29/2024,6001.0,,,6005.71,0.0,0,0,0
5/28/2024,6001.0,,,6005.71,0.0,0,0,0
5/27/2024,6001.0,,,6005.71,0.0,0,0,0
5/23/2024,6001.0,,,6005.71,0.0,0,0,0
5/22/2024,6001.0,6077.0,6001.0,6005.71,1.79,226,1357290,1357290
5/21/2024,5900.0,,,5900.0,0.0,0,0,0
5/20/2024,5900.0,5900.0,5900.0,5900.0,0.0,20,118000,118000
5/17/2024,5900.0,,,5900.0,0.0,0,0,53302050
5/16/2024,5900.0,,,5900.0,0.0,0,0,0
5/15/2024,5900.0,,,5900.0,0.0,0,0,0
5/14/2024,5900.0,,,5900.0,0.0,0,0,0
5/13/2024,5900.0,,,5900.0,0.0,0,0,0
5/10/2024,5900.0,5900.0,5900.0,5900.0,6.28,56,330400,330400
5/9/2024,5551.0,5552.0,5551.0,5551.5,-2.98,20,111030,111030
5/7/2024,5722.0,,,5722.0,0.0,0,0,0
5/2/2024,5722.0,,,5722.0,0.0,0,0,0
4/30/2024,5722.0,,,5722.0,0.0,0,0,0
4/29/2024,5722.0,,,5722.0,0.0,0,0,0
4/26/2024,5722.0,,,5722.0,0.0,0,0,0
4/25/2024,5722.0,,,5722.0,0.0,0,0,0
4/23/2024,5722.0,5722.0,5722.0,5722.0,10.0,10,57220,4619470
4/22/2024,5202.0,,,5202.0,0.0,0,0,0
4/19/2024,5202.0,5202.0,5202.0,5202.0,1.01,5,26010,26010
4/18/2024,5150.0,,,5150.0,0.0,0,0,0
4/17/2024,5150.0,,,5150.0,0.0,0,0,0
4/16/2024,5150.0,,,5150.0,0.0,0,0,0
4/15/2024,5150.0,,,5150.0,0.0,0,0,0
4/12/2024,5150.0,,,5150.0,0.0,0,0,127354200
4/11/2024,5150.0,5150.0,5150.0,5150.0,-0.02,106,545900,545900
4/9/2024,5151.0,,,5151.0,0.0,0,0,0
4/8/2024,5151.0,,,5151.0,0.0,0,0,0
4/5/2024,5151.0,5151.0,5151.0,5151.0,0.02,55,283305,283305
4/4/2024,5150.0,,,5150.0,0.0,0,0,0
4/3/2024,5150.0,,,5150.0,0.0,0,0,0
4/2/2024,5150.0,,,5150.0,0.0,0,0,0
4/1/2024,5150.0,,,5150.0,0.0,0,0,0
3/29/2024,5150.0,,,5150.0,0.0,0,0,0
3/28/2024,5150.0,,,5150.0,0.0,0,0,0
3/27/2024,5150.0,,,5150.0,0.0,0,0,0
3/26/2024,5150.0,,,5150.0,0.0,0,0,0
3/25/2024,5150.0,5150.0,5150.0,5150.0,0.0,10,51500,51500
3/22/2024,5150.0,,,5150.0,0.0,0,0,0
