Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,135.0,135.0,135.0,135.0,0.0,678,91530,91530
11/7/2024,135.0,135.0,135.0,135.0,1.76,988,133380,133380
11/6/2024,132.0,133.0,132.0,132.66,-1.73,623,82646,82646
11/5/2024,135.0,,,135.0,0.0,0,0,0
11/4/2024,135.0,,,135.0,0.0,0,0,0
11/1/2024,135.0,135.0,135.0,135.0,0.0,850,114750,114750
10/31/2024,135.0,,,135.0,0.0,0,0,0
10/30/2024,135.0,,,135.0,0.0,0,0,0
10/29/2024,135.0,135.0,135.0,135.0,0.0,927,125145,125145
10/28/2024,135.0,,,135.0,0.0,0,0,0
10/25/2024,135.0,135.0,135.0,135.0,0.0,2513,339255,339255
10/24/2024,135.0,135.0,135.0,135.0,1.5,950,128250,128250
10/22/2024,133.0,133.0,133.0,133.0,-1.48,90,11970,11970
10/21/2024,135.0,,,135.0,0.0,0,0,0
10/18/2024,135.0,,,135.0,0.0,0,0,0
10/17/2024,135.0,135.0,135.0,135.0,-0.47,1000,135000,135000
10/16/2024,135.0,,,135.64,0.0,0,0,0
10/15/2024,135.0,,,135.64,0.0,0,0,0
10/14/2024,135.0,,,135.64,0.0,0,0,0
10/10/2024,135.0,,,135.64,0.0,0,0,0
10/9/2024,135.0,136.0,135.0,135.64,-0.26,700,94950,94950
10/8/2024,136.0,,,136.0,0.0,0,0,0
10/7/2024,136.0,136.0,136.0,136.0,0.0,250,34000,34000
10/4/2024,136.0,,,136.0,0.0,0,0,0
10/3/2024,136.0,136.0,136.0,136.0,-1.9,100,13600,13600
10/2/2024,140.0,140.0,137.0,138.63,-0.98,1835,254395,254395
10/1/2024,140.0,140.0,140.0,140.0,3.7,300,42000,42000
9/30/2024,135.0,,,135.0,0.0,0,0,0
9/27/2024,135.0,,,135.0,0.0,0,0,0
9/26/2024,135.0,,,135.0,0.0,0,0,0
9/25/2024,135.0,135.0,135.0,135.0,2.27,1740,234900,234900
9/24/2024,132.0,132.0,132.0,132.0,0.0,120,15840,15840
9/23/2024,132.0,,,132.0,0.0,0,0,0
9/20/2024,132.0,,,132.0,0.0,0,0,0
9/19/2024,132.0,132.0,132.0,132.0,-1.49,209,27588,27588
9/18/2024,134.0,134.0,134.0,134.0,-2.88,190,25460,25460
9/17/2024,139.0,,,137.98,0.0,0,0,0
9/16/2024,139.0,,,137.98,0.0,0,0,0
9/13/2024,139.0,139.0,136.0,137.98,2.21,440,60710,60710
9/12/2024,135.0,,,135.0,0.0,0,0,0
9/11/2024,135.0,,,135.0,0.0,0,0,0
9/10/2024,135.0,,,135.0,0.0,0,0,0
9/6/2024,135.0,135.0,135.0,135.0,0.0,445,60075,60075
9/5/2024,135.0,135.0,135.0,135.0,0.0,400,54000,54000
9/4/2024,135.0,,,135.0,0.0,0,0,0
9/3/2024,135.0,,,135.0,0.0,0,0,0
9/2/2024,135.0,,,135.0,0.0,0,0,0
8/30/2024,135.0,,,135.0,0.0,0,0,0
8/29/2024,135.0,135.0,135.0,135.0,0.0,350,47250,47250
8/27/2024,135.0,135.0,135.0,135.0,0.0,793,107055,107055
8/26/2024,135.0,,,135.0,0.0,0,0,0
8/23/2024,135.0,135.0,135.0,135.0,-2.88,175,23625,23625
8/22/2024,139.0,,,139.0,0.0,0,0,0
8/21/2024,139.0,,,139.0,0.0,0,0,0
8/20/2024,139.0,,,139.0,0.0,0,0,0
8/19/2024,139.0,,,139.0,0.0,0,0,0
8/16/2024,139.0,,,139.0,0.0,0,0,0
8/15/2024,139.0,,,139.0,0.0,0,0,0
8/14/2024,139.0,,,139.0,0.0,0,0,0
8/13/2024,139.0,,,139.0,0.0,0,0,0
8/12/2024,139.0,139.0,139.0,139.0,-0.71,5100,708900,708900
8/9/2024,140.0,,,140.0,0.0,0,0,0
8/8/2024,140.0,,,140.0,0.0,0,0,0
8/7/2024,140.0,,,140.0,0.0,0,0,0
8/6/2024,140.0,,,140.0,0.0,0,0,0
8/5/2024,140.0,140.0,140.0,140.0,0.0,457,63980,63980
8/1/2024,140.0,,,140.0,0.0,0,0,0
7/31/2024,140.0,140.0,140.0,140.0,-4.11,457,63980,63980
7/30/2024,146.0,146.0,146.0,146.0,4.29,90,13140,13140
7/29/2024,140.0,140.0,140.0,140.0,0.0,5671,793940,793940
7/26/2024,140.0,140.0,140.0,140.0,0.0,1760,246400,246400
7/25/2024,140.0,,,140.0,0.0,0,0,0
7/24/2024,140.0,140.0,140.0,140.0,2.19,200,28000,28000
7/23/2024,137.0,137.0,137.0,137.0,-0.38,543,74391,74391
7/22/2024,138.0,138.0,135.0,137.52,4.18,1244,171072,171072
7/19/2024,132.0,,,132.0,0.0,0,0,0
7/18/2024,132.0,132.0,132.0,132.0,-3.39,900,118800,118800
7/17/2024,136.0,137.0,136.0,136.63,0.46,1325,181035,181035
7/16/2024,136.0,,,136.0,0.0,0,0,0
7/15/2024,136.0,136.0,136.0,136.0,-0.58,9000,1224000,1224000
