Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,410.0,410.0,407.0,408.47,-0.44,1146,468110,468110
11/7/2024,410.0,411.0,410.0,410.29,-1.13,700,287200,287200
11/6/2024,415.0,415.0,415.0,415.0,-0.72,504,209160,209160
11/5/2024,418.0,418.0,418.0,418.0,-0.48,13,5434,5434
11/4/2024,420.0,,,420.0,0.0,0,0,0
11/1/2024,420.0,420.0,420.0,420.0,2.42,164,68880,68880
10/31/2024,410.0,420.0,410.0,410.07,-1.43,1452,595420,595420
10/30/2024,417.0,420.0,415.0,416.02,-2.57,5064,2106748,2106748
10/29/2024,427.0,,,427.0,0.0,0,0,0
10/28/2024,427.0,427.0,427.0,427.0,2.15,15,6405,6405
10/25/2024,418.0,418.0,418.0,418.0,-2.56,412,172216,172216
10/24/2024,429.0,429.0,429.0,429.0,-0.23,135,57915,57915
10/22/2024,430.0,,,430.0,0.0,0,0,0
10/21/2024,430.0,,,430.0,0.0,0,0,0
10/18/2024,430.0,430.0,430.0,430.0,2.04,38,16340,16340
10/17/2024,415.0,,,421.42,0.0,0,0,0
10/16/2024,415.0,436.0,415.0,421.42,-3.57,288,121368,121368
10/15/2024,437.0,,,437.0,0.0,0,0,0
10/14/2024,437.0,,,437.0,0.0,0,0,0
10/10/2024,437.0,437.0,437.0,437.0,0.0,50,21850,21850
10/9/2024,437.0,,,437.0,0.0,0,0,0
10/8/2024,437.0,437.0,437.0,437.0,7.9,100,43700,43700
10/7/2024,405.0,405.0,405.0,405.0,0.29,200,81000,81000
10/4/2024,400.0,415.0,400.0,403.83,-1.5,600,242300,242300
10/3/2024,410.0,410.0,410.0,410.0,-1.2,200,82000,82000
10/2/2024,415.0,415.0,415.0,415.0,1.11,1435,595525,595525
10/1/2024,410.0,415.0,410.0,410.45,0.14,220,90300,90300
9/30/2024,415.0,,,409.86,0.0,0,0,0
9/27/2024,415.0,415.0,409.0,409.86,1.2,350,143450,143450
9/26/2024,405.0,405.0,405.0,405.0,1.17,140,56700,56700
9/25/2024,400.0,,,400.33,0.0,0,0,0
9/24/2024,400.0,405.0,400.0,400.33,-2.36,750,300250,300250
9/23/2024,410.0,410.0,410.0,410.0,0.0,100,41000,41000
9/20/2024,410.0,,,410.0,0.0,0,0,0
9/19/2024,410.0,410.0,410.0,410.0,0.0,234,95940,95940
9/18/2024,410.0,410.0,410.0,410.0,1.23,88,36080,36080
9/17/2024,405.0,405.0,405.0,405.0,-0.31,1904,771120,771120
9/16/2024,405.0,410.0,405.0,406.25,-0.59,751,305095,305095
