Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
07.11.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
06.11.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
05.11.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
04.11.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
01.11.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
31.10.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
30.10.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
29.10.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
28.10.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
25.10.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
24.10.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
22.10.2024,"1.650,00",nan,nan,"1.650,00","0,00","0,00","0,00","0,00"
21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94","208,00","343.200,00","343.200,00"
18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00","2,00","3.400,00","3.400,00"
17.10.2024,"1.700,00",nan,nan,"1.700,00","0,00","0,00","0,00","0,00"
16.10.2024,"1.700,00",nan,nan,"1.700,00","0,00","0,00","0,00","0,00"
15.10.2024,"1.700,00",nan,nan,"1.700,00","0,00","0,00","0,00","0,00"
14.10.2024,"1.700,00",nan,nan,"1.700,00","0,00","0,00","0,00","0,00"
10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86","200,00","340.000,00","340.000,00"
09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78","16,00","28.000,00","28.000,00"
08.10.2024,"1.800,00",nan,nan,"1.800,00","0,00","0,00","0,00","0,00"
07.10.2024,"1.800,00",nan,nan,"1.800,00","0,00","0,00","0,00","0,00"
04.10.2024,"1.800,00",nan,nan,"1.800,00","0,00","0,00","0,00","0,00"
03.10.2024,"1.800,00",nan,nan,"1.800,00","0,00","0,00","0,00","0,00"
