Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"24.900,00","24.999,00","24.900,00","24.975,96","0,10","232,00","5.794.422,00","5.794.422,00"
07.11.2024,"24.998,00","24.999,00","24.900,00","24.951,77","-0,13","109,00","2.719.743,00","2.719.743,00"
06.11.2024,"24.900,00","25.000,00","24.900,00","24.983,63","0,08","412,00","10.293.255,00","10.293.255,00"
05.11.2024,"24.977,00","25.000,00","24.899,00","24.962,50","0,32","763,00","19.046.384,00","19.046.384,00"
04.11.2024,"24.897,00","24.900,00","24.600,00","24.882,60","1,89","417,00","10.376.043,00","10.376.043,00"
01.11.2024,"24.400,00","24.900,00","24.300,00","24.419,95","1,50","1.224,00","29.890.022,00","29.890.022,00"
31.10.2024,"24.070,00","24.070,00","24.000,00","24.058,49","0,39","314,00","7.554.365,00","7.554.365,00"
30.10.2024,"23.969,00","23.976,00","23.950,00","23.964,34","-0,01","962,00","23.053.698,00","23.053.698,00"
29.10.2024,"23.960,00","23.970,00","23.960,00","23.967,76","-0,01","380,00","9.107.747,00","15.100.247,00"
28.10.2024,"23.960,00","23.976,00","23.960,00","23.969,90","-0,03","1.093,00","26.199.098,00","26.199.098,00"
25.10.2024,"23.977,00","23.979,00","23.951,00","23.977,61","0,01","852,00","20.428.924,00","20.428.924,00"
24.10.2024,"23.978,00","23.978,00","23.950,00","23.975,33","0,00","556,00","13.330.284,00","13.330.284,00"
22.10.2024,"23.951,00","23.999,00","23.951,00","23.976,12","-0,03","608,00","14.577.484,00","14.577.484,00"
21.10.2024,"23.994,00","24.000,00","23.950,00","23.983,19","0,17","739,00","17.723.579,00","17.723.579,00"
18.10.2024,"23.970,00","23.970,00","23.900,00","23.941,32","-0,07","690,00","16.519.514,00","19.824.614,00"
17.10.2024,"23.960,00","23.970,00","23.920,00","23.957,00","0,12","481,00","11.523.319,00","11.523.319,00"
16.10.2024,"23.920,00","23.990,00","23.900,00","23.927,66","0,00","311,00","7.441.501,00","7.441.501,00"
15.10.2024,"23.989,00","23.989,00","23.900,00","23.928,81","0,12","374,00","8.949.375,00","8.949.375,00"
14.10.2024,"23.900,00","23.950,00","23.899,00","23.901,28","0,04","220,00","5.258.282,00","5.258.282,00"
