Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"85.001,00","85.001,00","85.001,00","85.001,00","-0,84","10,00","850.010,00","850.010,00"
07.11.2024,"85.700,00","85.750,00","85.700,00","85.725,00","0,34","4,00","342.900,00","342.900,00"
06.11.2024,"85.500,00","85.500,00","85.000,00","85.436,17","-0,07","47,00","4.015.500,00","4.015.500,00"
05.11.2024,"85.499,00","85.500,00","85.499,00","85.499,50","0,00","4,00","341.998,00","33.661.998,00"
04.11.2024,"85.500,00","85.500,00","85.499,00","85.499,91","0,00","11,00","940.499,00","940.499,00"
01.11.2024,"85.500,00","85.500,00","85.500,00","85.500,00","0,59","15,00","1.282.500,00","1.282.500,00"
31.10.2024,"85.000,00","85.000,00","85.000,00","85.000,00","0,57","754,00","64.090.000,00","64.090.000,00"
30.10.2024,"84.401,00","85.000,00","84.401,00","84.521,57","0,03","14,00","1.183.302,00","1.183.302,00"
29.10.2024,"84.500,00","84.501,00","84.500,00","84.500,12","-0,70","8,00","676.001,00","676.001,00"
28.10.2024,"85.500,00","85.500,00","85.000,00","85.100,00","-0,25","5,00","425.500,00","425.500,00"
25.10.2024,"85.500,00","85.500,00","85.000,00","85.313,88","-0,13","59,00","5.033.519,00","5.033.519,00"
24.10.2024,"85.500,00","85.500,00","85.000,00","85.428,57","0,53","7,00","598.000,00","598.000,00"
22.10.2024,"84.500,00","85.000,00","84.500,00","84.979,12","-0,02","24,00","2.039.499,00","2.039.499,00"
21.10.2024,"85.000,00",nan,nan,"85.000,00","0,00","0,00","0,00","0,00"
18.10.2024,"85.000,00","85.000,00","85.000,00","85.000,00","-0,35","2,00","170.000,00","170.000,00"
17.10.2024,"85.000,00","85.500,00","85.000,00","85.300,24","-0,24","45,00","3.838.511,00","3.838.511,00"
16.10.2024,"85.500,00","85.550,00","85.500,00","85.503,12","-0,57","16,00","1.368.050,00","1.368.050,00"
15.10.2024,"85.990,00","85.990,00","85.990,00","85.990,00","0,11","1,00","85.990,00","85.990,00"
14.10.2024,"85.900,00","85.900,00","85.899,00","85.899,56","0,00","9,00","773.096,00","773.096,00"
10.10.2024,"85.900,00","85.900,00","85.900,00","85.900,00","-0,12","3,00","257.700,00","257.700,00"
09.10.2024,"86.000,00",nan,nan,"85.999,93","0,00","0,00","0,00","0,00"
08.10.2024,"86.000,00",nan,nan,"85.999,93","0,00","0,00","0,00","0,00"
07.10.2024,"86.000,00","86.000,00","85.998,00","85.999,93","0,00","105,00","9.029.993,00","9.029.993,00"
04.10.2024,"85.999,00","86.000,00","85.999,00","85.999,33","-0,05","3,00","257.998,00","257.998,00"
03.10.2024,"86.000,00","86.500,00","86.000,00","86.043,63","-0,53","35,00","3.011.527,00","3.011.527,00"
02.10.2024,"86.500,00",nan,nan,"86.500,00","0,00","0,00","0,00","0,00"
01.10.2024,"86.500,00","86.500,00","86.500,00","86.500,00","-0,46","24,00","2.076.000,00","2.076.000,00"
30.09.2024,"86.898,00","86.900,00","86.898,00","86.899,50","-0,11","14,00","1.216.593,00","1.216.593,00"
27.09.2024,"86.990,00",nan,nan,"86.993,44","0,00","0,00","0,00","0,00"
26.09.2024,"86.990,00","87.000,00","86.990,00","86.993,44","-0,01","32,00","2.783.790,00","2.783.790,00"
25.09.2024,"87.000,00","87.000,00","87.000,00","87.000,00","0,00","53,00","4.611.000,00","4.611.000,00"
24.09.2024,"87.000,00","87.000,00","87.000,00","87.000,00","0,00","19,00","1.653.000,00","1.653.000,00"
23.09.2024,"87.001,00","87.001,00","87.000,00","87.000,10","0,00","10,00","870.001,00","870.001,00"
20.09.2024,"87.000,00",nan,nan,"87.000,00","0,00","0,00","0,00","0,00"
19.09.2024,"87.000,00","87.000,00","87.000,00","87.000,00","0,00","4,00","348.000,00","348.000,00"
18.09.2024,"87.000,00",nan,nan,"87.000,00","0,00","0,00","0,00","0,00"
17.09.2024,"87.000,00",nan,nan,"87.000,00","0,00","0,00","0,00","0,00"
16.09.2024,"87.000,00","87.000,00","87.000,00","87.000,00","-0,21","2,00","174.000,00","174.000,00"
13.09.2024,"87.200,00","87.250,00","87.100,00","87.180,92","0,15","13,00","1.133.352,00","1.133.352,00"
12.09.2024,"87.050,00",nan,nan,"87.050,03","0,00","0,00","0,00","0,00"
11.09.2024,"87.050,00","87.051,00","87.050,00","87.050,03","0,00","37,00","3.220.851,00","3.220.851,00"
10.09.2024,"87.050,00","87.050,00","87.050,00","87.050,00","-0,46","1,00","87.050,00","87.050,00"
06.09.2024,"87.051,00","87.501,00","87.051,00","87.450,78","0,52","9,00","787.057,00","787.057,00"
05.09.2024,"87.001,00","87.001,00","87.001,00","87.001,00","-1,60","10,00","870.010,00","870.010,00"
04.09.2024,"88.000,00","88.500,00","88.000,00","88.416,67","-0,66","12,00","1.061.000,00","1.061.000,00"
03.09.2024,"88.999,00",nan,nan,"88.999,69","0,00","0,00","0,00","0,00"
02.09.2024,"88.999,00","89.000,00","88.999,00","88.999,69","0,01","16,00","1.423.995,00","1.423.995,00"
30.08.2024,"89.000,00","89.000,00","88.950,00","88.994,23","0,18","26,00","2.313.850,00","2.313.850,00"
29.08.2024,"88.500,00","89.000,00","88.500,00","88.833,33","-0,19","6,00","533.000,00","533.000,00"
27.08.2024,"89.000,00","89.000,00","89.000,00","89.000,00","0,00","41,00","3.649.000,00","3.649.000,00"
26.08.2024,"89.000,00","89.000,00","89.000,00","89.000,00","0,00","11,00","979.000,00","979.000,00"
23.08.2024,"88.999,00","88.999,00","88.999,00","88.999,00","0,91","4,00","355.996,00","355.996,00"
22.08.2024,"88.200,00","88.200,00","88.200,00","88.200,00","0,08","10,00","882.000,00","882.000,00"
21.08.2024,"88.000,00","88.500,00","87.400,00","88.128,57","-0,35","7,00","616.900,00","616.900,00"
20.08.2024,"88.500,00","88.500,00","88.000,00","88.439,02","2,84","41,00","3.626.000,00","3.626.000,00"
19.08.2024,"86.000,00","86.000,00","86.000,00","86.000,00","1,42","30,00","2.580.000,00","2.580.000,00"
16.08.2024,"84.800,00","84.800,00","84.800,00","84.800,00","0,36","20,00","1.696.000,00","1.696.000,00"
15.08.2024,"84.500,00","84.500,00","84.500,00","84.500,00","0,60","1,00","84.500,00","84.500,00"
14.08.2024,"84.000,00","84.000,00","84.000,00","84.000,00","0,00","8,00","672.000,00","672.000,00"
13.08.2024,"84.000,00",nan,nan,"84.000,00","0,00","0,00","0,00","0,00"
12.08.2024,"84.000,00","84.000,00","84.000,00","84.000,00","0,36","15,00","1.260.000,00","1.260.000,00"
09.08.2024,"83.800,00","83.800,00","83.601,00","83.700,33","-0,14","3,00","251.101,00","251.101,00"
08.08.2024,"83.800,00","84.000,00","83.800,00","83.814,78","-0,22","27,00","2.262.999,00","2.262.999,00"
07.08.2024,"84.000,00","84.000,00","84.000,00","84.000,00","0,00","11,00","924.000,00","924.000,00"
06.08.2024,"84.000,00","84.000,00","84.000,00","84.000,00","-1,03","3,00","252.000,00","252.000,00"
05.08.2024,"83.000,00","85.001,00","83.000,00","84.875,19","-2,44","32,00","2.716.006,00","2.716.006,00"
01.08.2024,"87.000,00","87.000,00","87.000,00","87.000,00","2,35","3,00","261.000,00","261.000,00"
31.07.2024,"85.000,00","85.000,00","85.000,00","85.000,00","-2,30","10,00","850.000,00","850.000,00"
30.07.2024,"87.000,00","87.000,00","87.000,00","87.000,00","2,87","3,00","261.000,00","261.000,00"
29.07.2024,"85.900,00","86.000,00","84.000,00","84.576,47","0,26","17,00","1.437.800,00","1.437.800,00"
26.07.2024,"84.700,00","84.700,00","83.999,00","84.353,54","0,42","28,00","2.361.899,00","2.361.899,00"
25.07.2024,"84.000,00","84.000,00","84.000,00","84.000,00","0,13","3,00","252.000,00","252.000,00"
24.07.2024,"84.000,00","84.500,00","83.500,00","83.891,06","1,07","32,00","2.684.514,00","2.684.514,00"
23.07.2024,"83.000,00","83.000,00","83.000,00","83.000,00","0,64","4,00","332.000,00","332.000,00"
22.07.2024,"82.600,00","82.600,00","82.000,00","82.471,43","0,57","28,00","2.309.200,00","2.309.200,00"
19.07.2024,"82.000,00","82.001,00","82.000,00","82.000,07","-0,42","29,00","2.378.002,00","2.378.002,00"
18.07.2024,"83.000,00","83.000,00","81.500,00","82.344,47","1,04","45,00","3.705.501,00","3.705.501,00"
17.07.2024,"81.500,00","81.500,00","81.498,00","81.499,61","0,00","31,00","2.526.488,00","2.526.488,00"
16.07.2024,"81.500,00","81.500,00","81.498,00","81.499,00","1,24","8,00","651.992,00","651.992,00"
15.07.2024,"80.500,00",nan,nan,"80.500,59","0,00","0,00","0,00","0,00"
12.07.2024,"80.500,00","80.501,00","80.500,00","80.500,59","-0,21","68,00","5.474.040,00","5.474.040,00"
11.07.2024,"80.001,00","81.500,00","80.001,00","80.667,22","-1,02","18,00","1.452.010,00","1.452.010,00"
10.07.2024,"81.500,00",nan,nan,"81.500,00","0,00","0,00","0,00","0,00"
09.07.2024,"81.500,00","81.500,00","81.500,00","81.500,00","-0,56","4,00","326.000,00","326.000,00"
08.07.2024,"81.998,00",nan,nan,"81.957,76","0,00","0,00","0,00","0,00"
05.07.2024,"81.998,00","81.999,00","81.900,00","81.957,76","2,80","75,00","6.146.832,00","6.146.832,00"
04.07.2024,"80.500,00","80.500,00","79.300,00","79.724,85","0,63","20,00","1.594.497,00","1.594.497,00"
03.07.2024,"79.000,00","79.999,00","79.000,00","79.227,56","0,40","57,00","4.515.971,00","4.515.971,00"
02.07.2024,"79.000,00","79.000,00","78.500,00","78.913,86","-0,05","14,00","1.104.794,00","1.104.794,00"
01.07.2024,"78.999,00",nan,nan,"78.949,90","0,00","0,00","0,00","0,00"
28.06.2024,"78.999,00","79.000,00","78.900,00","78.949,90","-0,18","10,00","789.499,00","789.499,00"
27.06.2024,"79.000,00","79.500,00","79.000,00","79.089,82","-0,25","28,00","2.214.515,00","2.214.515,00"
26.06.2024,"79.000,00","79.499,00","78.285,00","79.284,88","1,65","8,00","634.279,00","634.279,00"
25.06.2024,"78.000,00","78.000,00","78.000,00","78.000,00","-0,36","5,00","390.000,00","390.000,00"
24.06.2024,"78.285,00","79.499,00","77.800,00","78.285,23","0,12","13,00","1.017.708,00","1.017.708,00"
20.06.2024,"78.000,00","79.000,00","77.800,00","78.188,38","-2,26","69,00","5.394.998,00","5.394.998,00"
19.06.2024,"80.000,00","80.000,00","80.000,00","80.000,00","-4,19","8,00","640.000,00","640.000,00"
18.06.2024,"83.498,00","83.498,00","83.498,00","83.498,00","-0,59","6,00","500.988,00","500.988,00"
17.06.2024,"83.990,00","84.000,00","83.980,00","83.996,00","0,00","15,00","1.259.940,00","1.259.940,00"
14.06.2024,"84.000,00","84.000,00","83.990,00","83.998,61","-0,28","69,00","5.795.904,00","5.795.904,00"
13.06.2024,"83.999,00","85.000,00","83.500,00","84.236,67","2,86","27,00","2.274.390,00","21.762.390,00"
12.06.2024,"82.300,00","82.500,00","81.000,00","81.896,21","1,15","124,00","10.155.130,00","10.155.130,00"
11.06.2024,"81.000,00","81.000,00","80.900,00","80.964,29","0,15","14,00","1.133.500,00","1.133.500,00"
10.06.2024,"81.000,00","81.000,00","80.500,00","80.843,75","-0,13","16,00","1.293.500,00","1.293.500,00"
07.06.2024,"81.500,00","81.500,00","80.006,00","80.952,00","1,36","10,00","809.520,00","809.520,00"
06.06.2024,"80.500,00","80.500,00","79.000,00","79.867,63","1,58","118,00","9.424.380,00","9.424.380,00"
05.06.2024,"78.500,00","79.000,00","78.000,00","78.625,56","0,18","27,00","2.122.890,00","2.122.890,00"
04.06.2024,"78.500,00",nan,nan,"78.487,50","0,00","0,00","0,00","0,00"
03.06.2024,"78.500,00",nan,nan,"78.487,50","0,00","0,00","0,00","0,00"
31.05.2024,"78.500,00","78.500,00","78.450,00","78.487,50","1,08","8,00","627.900,00","627.900,00"
30.05.2024,"78.000,00","78.000,00","77.500,00","77.646,88","-0,90","17,00","1.319.997,00","1.319.997,00"
29.05.2024,"78.000,00",nan,nan,"78.353,35","0,00","0,00","0,00","0,00"
