Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,26","175,00","341.250,00","341.250,00"
07.11.2024,"1.945,00",nan,nan,"1.945,00","0,00","0,00","0,00","0,00"
06.11.2024,"1.945,00",nan,nan,"1.945,00","0,00","0,00","0,00","0,00"
05.11.2024,"1.945,00",nan,nan,"1.945,00","0,00","0,00","0,00","0,00"
04.11.2024,"1.945,00",nan,nan,"1.945,00","0,00","0,00","0,00","0,00"
01.11.2024,"1.945,00",nan,nan,"1.945,00","0,00","0,00","0,00","0,00"
31.10.2024,"1.945,00",nan,nan,"1.945,00","0,00","0,00","0,00","0,00"
30.10.2024,"1.945,00","1.945,00","1.945,00","1.945,00","-0,05","125,00","243.125,00","243.125,00"
29.10.2024,"1.946,00","1.946,00","1.946,00","1.946,00","0,00","91,00","177.086,00","177.086,00"
28.10.2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99","110,00","214.060,00","214.060,00"
25.10.2024,"2.006,00",nan,nan,"2.006,00","0,00","0,00","0,00","0,00"
24.10.2024,"2.006,00",nan,nan,"2.006,00","0,00","0,00","0,00","0,00"
22.10.2024,"2.006,00",nan,nan,"2.006,00","0,00","0,00","0,00","0,00"
21.10.2024,"2.006,00",nan,nan,"2.006,00","0,00","0,00","0,00","0,00"
18.10.2024,"2.006,00","2.006,00","2.006,00","2.006,00","0,00","3,00","6.018,00","6.018,00"
17.10.2024,"2.006,00","2.006,00","2.006,00","2.006,00","3,53","6,00","12.036,00","12.036,00"
16.10.2024,"1.900,00","1.946,00","1.900,00","1.937,64","-0,43","11,00","21.314,00","21.314,00"
15.10.2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99","300,00","583.800,00","583.800,00"
14.10.2024,"2.006,00","2.006,00","2.006,00","2.006,00","8,43","10,00","20.060,00","20.060,00"
10.10.2024,"1.850,00","1.850,00","1.850,00","1.850,00","-7,41","165,00","305.250,00","305.250,00"
09.10.2024,"1.998,00","1.998,00","1.998,00","1.998,00","0,00","10,00","19.980,00","19.980,00"
08.10.2024,"1.998,00","1.998,00","1.998,00","1.998,00","2,46","14,00","27.972,00","27.972,00"
07.10.2024,"1.950,00",nan,nan,"1.950,00","0,00","0,00","0,00","0,00"
04.10.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,10","16,00","31.200,00","31.200,00"
03.10.2024,"1.920,00",nan,nan,"1.947,97","0,00","0,00","0,00","0,00"
02.10.2024,"1.920,00",nan,nan,"1.947,97","0,00","0,00","0,00","0,00"
01.10.2024,"1.920,00",nan,nan,"1.947,97","0,00","0,00","0,00","0,00"
30.09.2024,"1.920,00",nan,nan,"1.947,97","0,00","0,00","0,00","0,00"
27.09.2024,"1.920,00",nan,nan,"1.947,97","0,00","0,00","0,00","0,00"
26.09.2024,"1.920,00",nan,nan,"1.947,97","0,00","0,00","0,00","0,00"
25.09.2024,"1.920,00","1.972,00","1.920,00","1.947,97","-1,22","760,00","1.480.460,00","1.480.460,00"
24.09.2024,"1.972,00","1.972,00","1.972,00","1.972,00","6,71","20,00","39.440,00","39.440,00"
23.09.2024,"1.848,00","1.848,00","1.848,00","1.848,00","2,98","57,00","105.336,00","105.336,00"
20.09.2024,"1.800,00",nan,nan,"1.794,52","0,00","0,00","0,00","0,00"
19.09.2024,"1.800,00",nan,nan,"1.794,52","0,00","0,00","0,00","0,00"
18.09.2024,"1.800,00","1.800,00","1.790,00","1.794,52","3,31","73,00","131.000,00","131.000,00"
17.09.2024,"1.790,00","1.790,00","1.721,00","1.737,05","-0,46","43,00","74.693,00","74.693,00"
16.09.2024,"1.741,00",nan,nan,"1.745,10","0,00","0,00","0,00","0,00"
13.09.2024,"1.741,00","1.780,00","1.731,00","1.745,10","1,46","1.423,00","2.483.271,00","2.483.271,00"
12.09.2024,"1.720,00","1.720,00","1.720,00","1.720,00","0,00","25,00","43.000,00","43.000,00"
11.09.2024,"1.720,00",nan,nan,"1.720,00","0,00","0,00","0,00","0,00"
10.09.2024,"1.720,00","1.720,00","1.720,00","1.720,00","-1,21","221,00","380.120,00","380.120,00"
06.09.2024,"1.741,00",nan,nan,"1.741,00","0,00","0,00","0,00","0,00"
05.09.2024,"1.741,00","1.741,00","1.741,00","1.741,00","0,00","10,00","17.410,00","17.410,00"
04.09.2024,"1.741,00",nan,nan,"1.741,00","0,00","0,00","0,00","0,00"
03.09.2024,"1.741,00",nan,nan,"1.741,00","0,00","0,00","0,00","0,00"
02.09.2024,"1.741,00",nan,nan,"1.741,00","0,00","0,00","0,00","0,00"
30.08.2024,"1.741,00","1.741,00","1.741,00","1.741,00","-2,19","206,00","358.646,00","358.646,00"
29.08.2024,"1.780,00","1.780,00","1.780,00","1.780,00","0,32","100,00","178.000,00","178.000,00"
27.08.2024,"1.760,00","1.781,00","1.760,00","1.774,32","2,56","88,00","156.140,00","156.140,00"
26.08.2024,"1.730,00",nan,nan,"1.730,00","0,00","0,00","0,00","0,00"
23.08.2024,"1.730,00","1.730,00","1.730,00","1.730,00","0,11","154,00","266.420,00","266.420,00"
22.08.2024,"1.739,00","1.739,00","1.691,00","1.728,13","2,20","53,00","91.591,00","91.591,00"
21.08.2024,"1.691,00","1.691,00","1.691,00","1.691,00","0,00","349,00","590.159,00","590.159,00"
20.08.2024,"1.691,00","1.691,00","1.691,00","1.691,00","5,42","11,00","18.601,00","18.601,00"
19.08.2024,"1.604,00",nan,nan,"1.604,00","0,00","0,00","0,00","0,00"
16.08.2024,"1.604,00","1.604,00","1.604,00","1.604,00","0,25","31,00","49.724,00","49.724,00"
15.08.2024,"1.600,00",nan,nan,"1.600,00","0,00","0,00","0,00","0,00"
14.08.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-2,56","500,00","800.000,00","800.000,00"
13.08.2024,"1.642,00","1.642,00","1.642,00","1.642,00","-2,96","21,00","34.482,00","34.482,00"
12.08.2024,"1.692,00","1.692,00","1.692,00","1.692,00","-2,98","14,00","23.688,00","23.688,00"
09.08.2024,"1.744,00","1.744,00","1.744,00","1.744,00","-0,11","6,00","10.464,00","10.464,00"
08.08.2024,"1.746,00",nan,nan,"1.746,00","0,00","0,00","0,00","2.390.274,00"
07.08.2024,"1.746,00","1.746,00","1.746,00","1.746,00","-3,00","40,00","69.840,00","69.840,00"
06.08.2024,"1.800,00",nan,nan,"1.800,00","0,00","0,00","0,00","0,00"
05.08.2024,"1.800,00",nan,nan,"1.800,00","0,00","0,00","0,00","0,00"
01.08.2024,"1.800,00","1.800,00","1.800,00","1.800,00","-1,80","20,00","36.000,00","36.000,00"
31.07.2024,"1.833,00","1.833,00","1.833,00","1.833,00","-2,96","110,00","201.630,00","201.630,00"
30.07.2024,"1.889,00","1.889,00","1.889,00","1.889,00","8,45","10,00","18.890,00","18.890,00"
29.07.2024,"1.749,00","1.749,00","1.640,00","1.741,88","6,21","153,00","266.507,00","266.507,00"
26.07.2024,"1.640,00","1.640,00","1.640,00","1.640,00","2,50","10,00","16.400,00","16.400,00"
25.07.2024,"1.600,00","1.600,00","1.600,00","1.600,00","1,24","75,00","120.000,00","120.000,00"
24.07.2024,"1.590,00","1.590,00","1.580,00","1.580,38","-1,23","104,00","164.360,00","164.360,00"
23.07.2024,"1.600,00","1.600,00","1.600,00","1.600,00","0,02","59,00","94.400,00","94.400,00"
22.07.2024,"1.600,00","1.600,00","1.599,00","1.599,75","-0,01","200,00","319.950,00","319.950,00"
19.07.2024,"1.600,00","1.600,00","1.599,00","1.599,92","0,00","416,00","665.568,00","665.568,00"
18.07.2024,"1.600,00","1.600,00","1.600,00","1.600,00","3,23","50,00","80.000,00","80.000,00"
17.07.2024,"1.550,00","1.550,00","1.550,00","1.550,00","1,71","38,00","58.900,00","58.900,00"
16.07.2024,"1.524,00",nan,nan,"1.524,00","0,00","0,00","0,00","2.612.200,00"
15.07.2024,"1.524,00",nan,nan,"1.524,00","0,00","0,00","0,00","6.292.960,00"
12.07.2024,"1.524,00",nan,nan,"1.524,00","0,00","0,00","0,00","0,00"
11.07.2024,"1.524,00",nan,nan,"1.524,00","0,00","0,00","0,00","0,00"
10.07.2024,"1.524,00","1.524,00","1.524,00","1.524,00","1,60","30,00","45.720,00","45.720,00"
09.07.2024,"1.500,00","1.500,00","1.500,00","1.500,00","1,37","50,00","75.000,00","75.000,00"
08.07.2024,"1.480,00",nan,nan,"1.479,67","0,00","0,00","0,00","0,00"
05.07.2024,"1.480,00","1.480,00","1.479,00","1.479,67","-0,02","203,00","300.373,00","300.373,00"
04.07.2024,"1.480,00",nan,nan,"1.480,00","0,00","0,00","0,00","0,00"
03.07.2024,"1.480,00","1.480,00","1.480,00","1.480,00","0,05","69,00","102.120,00","102.120,00"
02.07.2024,"1.480,00",nan,nan,"1.479,25","0,00","0,00","0,00","0,00"
01.07.2024,"1.480,00","1.480,00","1.452,00","1.479,25","1,15","75,00","110.944,00","110.944,00"
28.06.2024,"1.480,00",nan,nan,"1.462,50","0,00","0,00","0,00","0,00"
27.06.2024,"1.480,00","1.480,00","1.450,00","1.462,50","0,87","12,00","17.550,00","17.550,00"
26.06.2024,"1.450,00",nan,nan,"1.449,84","0,00","0,00","0,00","0,00"
25.06.2024,"1.450,00",nan,nan,"1.449,84","0,00","0,00","0,00","0,00"
24.06.2024,"1.450,00",nan,nan,"1.449,84","0,00","0,00","0,00","0,00"
20.06.2024,"1.450,00",nan,nan,"1.449,84","0,00","0,00","0,00","0,00"
19.06.2024,"1.450,00","1.450,00","1.449,00","1.449,84","-0,01","234,00","339.262,00","339.262,00"
18.06.2024,"1.450,00",nan,nan,"1.450,00","0,00","0,00","0,00","0,00"
17.06.2024,"1.450,00",nan,nan,"1.450,00","0,00","0,00","0,00","0,00"
14.06.2024,"1.450,00","1.450,00","1.450,00","1.450,00","1,40","17,00","24.650,00","24.650,00"
13.06.2024,"1.430,00","1.430,00","1.430,00","1.430,00","0,29","6,00","8.580,00","8.580,00"
12.06.2024,"1.430,00",nan,nan,"1.425,85","0,00","0,00","0,00","0,00"
11.06.2024,"1.430,00",nan,nan,"1.425,85","0,00","0,00","0,00","0,00"
10.06.2024,"1.430,00",nan,nan,"1.425,85","0,00","0,00","0,00","0,00"
07.06.2024,"1.430,00",nan,nan,"1.425,85","0,00","0,00","0,00","0,00"
06.06.2024,"1.430,00",nan,nan,"1.425,85","0,00","0,00","0,00","0,00"
05.06.2024,"1.430,00","1.430,00","1.420,00","1.425,85","1,41","272,00","387.830,00","387.830,00"
04.06.2024,"1.406,00",nan,nan,"1.406,00","0,00","0,00","0,00","0,00"
