Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,23299.0,23400.0,23010.0,23193.84,0.85,64,1484406,1484406
11/7/2024,23000.0,23000.0,22990.0,22997.62,2.28,130,2989691,2989691
11/6/2024,22500.0,22502.0,22301.0,22484.06,0.83,187,4204519,4204519
11/5/2024,22300.0,22300.0,22298.0,22299.74,0.03,3434,76577300,76577300
11/4/2024,22300.0,22300.0,22250.0,22293.98,-0.1,408,9095944,9095944
11/1/2024,22300.0,22351.0,22300.0,22316.35,0.11,712,15889243,26615543
10/31/2024,22250.0,22310.0,22250.0,22291.33,0.19,218,4859510,4859510
10/30/2024,22250.0,22250.0,22250.0,22250.0,-0.01,86,1913500,1913500
10/29/2024,22200.0,22260.0,22200.0,22252.0,-0.07,125,2781500,2781500
10/28/2024,22300.0,22350.0,22250.0,22266.81,0.18,111,2471616,2471616
10/25/2024,22200.0,22251.0,22200.0,22225.74,-0.08,339,7534525,7534525
10/24/2024,22250.0,22251.0,22200.0,22243.51,-0.2,359,7985420,7985420
10/22/2024,22250.0,22500.0,22200.0,22288.64,0.06,78,1738514,1738514
10/21/2024,22250.0,22300.0,22200.0,22274.43,0.09,298,6637780,6637780
10/18/2024,22250.0,22300.0,22249.0,22254.15,0.04,222,4940421,4940421
10/17/2024,22250.0,22296.0,22160.0,22246.02,0.47,317,7051987,7051987
10/16/2024,22295.0,22295.0,22100.0,22140.92,-0.45,74,1638428,1638428
10/15/2024,22101.0,22300.0,22100.0,22240.91,-0.27,92,2046164,2046164
10/14/2024,22300.0,22350.0,22300.0,22301.63,-0.21,195,4348818,4348818
10/10/2024,22350.0,22400.0,22300.0,22347.5,0.27,177,3955508,3955508
10/9/2024,22300.0,22300.0,22250.0,22286.23,0.15,61,1359460,1359460
10/8/2024,22300.0,22300.0,22155.0,22251.97,0.21,77,1713402,1713402
10/7/2024,22150.0,22250.0,22150.0,22204.41,-0.17,78,1731944,1731944
10/4/2024,22201.0,22250.0,22201.0,22242.51,-0.12,72,1601461,1601461
10/3/2024,22250.0,22300.0,22250.0,22269.75,-0.12,119,2650100,2650100
10/2/2024,22300.0,22350.0,22250.0,22296.09,0.01,225,5016620,5016620
10/1/2024,22250.0,22300.0,22250.0,22294.28,-0.03,128,2853668,2853668
9/30/2024,22300.0,22303.0,22300.0,22300.96,0.0,253,5642142,5642142
9/27/2024,22300.0,22301.0,22300.0,22300.39,0.04,77,1717130,1717130
9/26/2024,22300.0,22300.0,22250.0,22291.8,0.12,61,1359800,1359800
9/25/2024,22222.0,22300.0,22222.0,22264.43,-0.15,37,823784,823784
9/24/2024,22300.0,22300.0,22250.0,22298.1,0.01,30,668943,668943
9/23/2024,22299.0,22300.0,22200.0,22295.52,0.35,84,1872824,1872824
9/20/2024,22200.0,22300.0,22150.0,22217.21,0.32,61,1355250,1355250
9/19/2024,22150.0,22300.0,22100.0,22146.5,-0.73,760,16831341,16831341
9/18/2024,22310.0,22350.0,22300.0,22309.76,0.5,123,2744100,2744100
9/17/2024,22200.0,22200.0,22198.0,22198.93,0.89,162,3596227,3596227
9/16/2024,22004.0,22004.0,22000.0,22002.37,-1.2,57,1254135,1254135
9/13/2024,22399.0,22700.0,22151.0,22269.03,0.64,471,10488714,10488714
9/12/2024,22002.0,22150.0,22002.0,22126.76,0.58,184,4071324,4071324
9/11/2024,22100.0,22100.0,21900.0,21999.92,0.03,211,4641983,4641983
9/10/2024,22000.0,22000.0,21963.0,21992.51,0.14,364,8005275,8005275
9/6/2024,21993.0,21994.0,21900.0,21962.32,-0.15,367,8060173,8060173
9/5/2024,21995.0,21995.0,21994.0,21994.9,0.4,50,1099745,1099745
9/4/2024,21995.0,21995.0,21900.0,21906.25,-0.28,32,701000,701000
9/3/2024,22000.0,22000.0,21899.0,21967.9,-0.12,159,3492896,3492896
9/2/2024,21950.0,22000.0,21950.0,21993.43,0.02,145,3189048,3189048
8/30/2024,22000.0,22000.0,21940.0,21989.63,0.23,185,4068081,4068081
8/29/2024,21940.0,21999.0,21900.0,21938.5,-0.26,84,1842834,1842834
8/27/2024,21999.0,21999.0,21995.0,21996.62,-0.01,198,4355331,4355331
8/26/2024,21999.0,22000.0,21999.0,21999.49,0.02,69,1517965,1517965
