Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,5919.0,,,5919.0,0.0,0,0,0
11/7/2024,5919.0,,,5919.0,0.0,0,0,0
11/6/2024,5919.0,,,5919.0,0.0,0,0,0
11/5/2024,5919.0,,,5919.0,0.0,0,0,0
11/4/2024,5919.0,,,5919.0,0.0,0,0,0
11/1/2024,5919.0,,,5919.0,0.0,0,0,0
10/31/2024,5919.0,,,5919.0,0.0,0,0,0
10/30/2024,5919.0,,,5919.0,0.0,0,0,0
10/29/2024,5919.0,,,5919.0,0.0,0,0,0
10/28/2024,5919.0,,,5919.0,0.0,0,0,0
10/25/2024,5919.0,,,5919.0,0.0,0,0,0
10/24/2024,5919.0,5919.0,5919.0,5919.0,0.0,133,787227,787227
10/22/2024,5919.0,5919.0,5919.0,5919.0,0.0,132,781308,781308
10/21/2024,5919.0,5920.0,5919.0,5919.22,0.0,276,1633704,1633704
10/18/2024,5919.0,5919.0,5919.0,5919.0,0.0,109,645171,645171
10/17/2024,5919.0,5919.0,5919.0,5919.0,0.04,132,781308,781308
10/16/2024,5919.0,5919.0,5850.0,5916.49,-0.04,3208,18980097,18980097
10/15/2024,5919.0,,,5919.0,0.0,0,0,0
10/14/2024,5919.0,,,5919.0,0.0,0,0,0
10/10/2024,5919.0,,,5919.0,0.0,0,0,0
10/9/2024,5919.0,,,5919.0,0.0,0,0,0
10/8/2024,5919.0,,,5919.0,0.0,0,0,0
10/7/2024,5919.0,,,5919.0,0.0,0,0,0
10/4/2024,5919.0,,,5919.0,0.0,0,0,0
10/3/2024,5919.0,,,5919.0,0.0,0,0,0
10/2/2024,5919.0,5919.0,5919.0,5919.0,0.0,192,1136448,1136448
10/1/2024,5919.0,5919.0,5919.0,5919.0,0.01,454,2687226,2687226
9/30/2024,5919.0,5919.0,5910.0,5918.65,0.12,1422,8416324,8416324
9/27/2024,5919.0,,,5911.35,0.0,0,0,0
9/26/2024,5919.0,,,5911.35,0.0,0,0,0
9/25/2024,5919.0,5919.0,5750.0,5911.35,2.81,2070,12236487,12236487
9/24/2024,5750.0,5750.0,5750.0,5750.0,-2.85,20,115000,115000
9/23/2024,5919.0,,,5918.95,0.0,0,0,0
9/20/2024,5919.0,5919.0,5918.0,5918.95,0.9,4032,23865195,23865195
9/19/2024,5866.0,5866.0,5866.0,5866.0,9.99,33,193578,193578
