Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,15096.0,15096.0,15096.0,15096.0,-0.01,9,135864,135864
11/7/2024,15098.0,15098.0,15098.0,15098.0,-0.01,17,256666,256666
11/6/2024,15100.0,,,15100.0,0.0,0,0,0
11/5/2024,15100.0,15100.0,15100.0,15100.0,0.0,11,166100,166100
11/4/2024,15100.0,15100.0,15100.0,15100.0,2.03,2,30200,30200
11/1/2024,14800.0,14800.0,14800.0,14800.0,0.68,12,177600,177600
10/31/2024,14700.0,14700.0,14700.0,14700.0,0.0,21,308700,308700
10/30/2024,14700.0,14701.0,14700.0,14700.65,0.0,31,455720,455720
10/29/2024,14700.0,,,14700.0,0.0,0,0,0
10/28/2024,14700.0,14700.0,14700.0,14700.0,0.28,34,499800,499800
10/25/2024,14700.0,14700.0,14601.0,14659.28,-0.28,141,2066958,2066958
10/24/2024,14700.0,14700.0,14700.0,14700.0,1.38,40,588000,588000
10/22/2024,14500.0,,,14500.0,0.0,0,0,0
10/21/2024,14500.0,14500.0,14500.0,14500.0,-1.49,1,14500,14500
10/18/2024,14700.0,,,14720.0,0.0,0,0,0
10/17/2024,14700.0,14800.0,14700.0,14720.0,-0.2,5,73600,73600
10/16/2024,14700.0,14790.0,14700.0,14748.89,-0.28,18,265480,265480
10/15/2024,14790.0,14790.0,14790.0,14790.0,1.69,3,44370,44370
10/14/2024,14500.0,14800.0,14500.0,14544.08,-1.73,168,2443405,2443405
10/10/2024,14800.0,14800.0,14800.0,14800.0,0.0,3,44400,44400
10/9/2024,14800.0,14800.0,14800.0,14800.0,-0.2,3,44400,44400
10/8/2024,14800.0,14979.0,14800.0,14829.83,-1.06,12,177958,177958
10/7/2024,14989.0,14989.0,14987.0,14988.49,1.27,47,704459,704459
10/4/2024,14800.0,14800.0,14800.0,14800.0,-0.33,3,44400,44400
10/3/2024,14849.0,14849.0,14849.0,14849.0,-0.01,10,148490,148490
10/2/2024,14850.0,14850.0,14850.0,14850.0,-0.98,13,193050,193050
10/1/2024,14997.0,14997.0,14997.0,14997.0,0.02,6,89982,89982
9/30/2024,14994.0,14994.0,14994.0,14994.0,-0.02,6,89964,89964
9/27/2024,14997.0,14998.0,14997.0,14997.12,0.0,16,239954,239954
9/26/2024,14999.0,14999.0,14997.0,14997.5,1.97,20,299950,299950
9/25/2024,14700.0,14850.0,14700.0,14707.86,-0.96,42,617730,617730
9/24/2024,14850.0,14850.0,14850.0,14850.0,-0.14,5,74250,74250
9/23/2024,14800.0,15000.0,14800.0,14870.97,-0.46,31,461000,461000
9/20/2024,14900.0,,,14939.5,0.0,0,0,0
9/19/2024,14900.0,,,14939.5,0.0,0,0,0
9/18/2024,14900.0,,,14939.5,0.0,0,0,0
9/17/2024,14900.0,14979.0,14900.0,14939.5,-0.25,20,298790,298790
9/16/2024,14976.0,14980.0,14975.0,14976.85,0.03,20,299537,5311537
9/13/2024,14900.0,14998.0,14900.0,14972.88,-0.18,50,748644,748644
9/12/2024,14999.0,15000.0,14999.0,14999.8,0.01,25,374995,374995
9/11/2024,14999.0,,,14999.0,0.0,0,0,0
9/10/2024,14999.0,14999.0,14999.0,14999.0,-0.01,1,14999,14999
9/6/2024,15000.0,15000.0,15000.0,15000.0,-2.24,47,705000,705000
9/5/2024,15344.0,15344.0,15344.0,15344.0,2.43,1,15344,15344
9/4/2024,14900.0,,,14979.47,0.0,0,0,0
9/3/2024,14900.0,,,14979.47,0.0,0,0,0
9/2/2024,14900.0,,,14979.47,0.0,0,0,0
8/30/2024,14900.0,15000.0,14900.0,14979.47,-0.35,187,2801161,2801161
8/29/2024,15000.0,15347.0,15000.0,15031.55,0.88,11,165347,165347
8/27/2024,14900.0,14900.0,14900.0,14900.0,1.31,50,745000,745000
8/26/2024,14700.0,,,14707.32,0.0,0,0,0
8/23/2024,14700.0,15000.0,14700.0,14707.32,-1.88,41,603000,603000
8/22/2024,14989.0,14989.0,14989.0,14989.0,0.01,4,59956,3019956
8/21/2024,14989.0,14990.0,14987.0,14987.47,0.0,32,479599,479599
8/20/2024,14987.0,,,14987.0,0.0,0,0,0
8/19/2024,14987.0,14987.0,14987.0,14987.0,-0.08,36,539532,539532
8/16/2024,14999.0,14999.0,14999.0,14999.0,0.0,30,449970,449970
8/15/2024,14999.0,14999.0,14999.0,14999.0,0.13,5,74995,74995
8/14/2024,14979.0,14979.0,14979.0,14979.0,3.0,5,74895,74895
