Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,3300.0,,,3300.0,0.0,0,0,0
11/7/2024,3300.0,,,3300.0,0.0,0,0,0
11/6/2024,3300.0,,,3300.0,0.0,0,0,0
11/5/2024,3300.0,,,3300.0,0.0,0,0,0
11/4/2024,3300.0,,,3300.0,0.0,0,0,0
11/1/2024,3300.0,,,3300.0,0.0,0,0,0
10/31/2024,3300.0,3300.0,3300.0,3300.0,1.51,836,2758800,2758800
10/30/2024,3300.0,,,3251.03,0.0,0,0,0
10/29/2024,3300.0,,,3251.03,0.0,0,0,0
10/28/2024,3300.0,3300.0,3250.0,3251.03,1.59,242,786750,41300850
10/25/2024,3200.0,,,3200.0,0.0,0,0,0
10/24/2024,3200.0,3200.0,3200.0,3200.0,0.0,150,480000,480000
10/22/2024,3200.0,3200.0,3200.0,3200.0,0.0,90,288000,288000
10/21/2024,3200.0,,,3200.0,0.0,0,0,0
10/18/2024,3200.0,3200.0,3200.0,3200.0,0.0,111,355200,355200
10/17/2024,3200.0,,,3200.0,0.0,0,0,0
10/16/2024,3200.0,3200.0,3200.0,3200.0,0.0,504,1612800,1612800
10/15/2024,3200.0,,,3200.0,0.0,0,0,48136760
10/14/2024,3200.0,3200.0,3200.0,3200.0,-1.52,540,1728000,1728000
10/10/2024,3250.0,3250.0,3220.0,3249.45,1.52,219,711630,29895930
10/9/2024,3201.0,3201.0,3200.0,3200.78,0.02,654,2093308,2093308
10/8/2024,3200.0,3200.0,3200.0,3200.0,0.0,156,499200,499200
10/7/2024,3199.0,3200.0,3199.0,3199.87,0.0,1145,3663847,3663847
10/4/2024,3200.0,3200.0,3200.0,3200.0,0.0,9408,30105600,30105600
10/3/2024,3200.0,,,3200.0,0.0,0,0,0
10/2/2024,3200.0,3200.0,3200.0,3200.0,0.0,352,1126400,1126400
10/1/2024,3200.0,3200.0,3200.0,3200.0,0.0,100,320000,320000
9/30/2024,3220.0,,,3200.05,0.0,0,0,0
9/27/2024,3220.0,,,3200.05,0.0,0,0,0
9/26/2024,3220.0,,,3200.05,0.0,0,0,0
9/25/2024,3220.0,,,3200.05,0.0,0,0,0
9/24/2024,3220.0,,,3200.05,0.0,0,0,0
9/23/2024,3220.0,3220.0,3200.0,3200.05,-0.93,432,1382420,1382420
9/20/2024,3230.0,3230.0,3230.0,3230.0,-0.57,70,226100,226100
9/19/2024,3250.0,3250.0,3200.0,3248.61,1.49,3614,11740480,16862480
9/18/2024,3201.0,3201.0,3200.0,3200.83,0.03,90,288075,288075
9/17/2024,3200.0,3200.0,3200.0,3200.0,0.0,15,48000,48000
9/16/2024,3200.0,3200.0,3200.0,3200.0,0.0,1167,3734400,9294752
9/13/2024,3200.0,3201.0,3200.0,3200.05,0.0,1344,4300862,4300862
9/12/2024,3200.0,3200.0,3199.0,3199.97,6.12,3839,12284683,12284683
9/11/2024,3015.0,3016.0,3015.0,3015.55,0.02,40,120622,120622
9/10/2024,3015.0,3015.0,3015.0,3015.0,-7.55,17,51255,51255
9/6/2024,3250.0,,,3261.05,0.0,0,0,0
9/5/2024,3250.0,,,3261.05,0.0,0,0,0
9/4/2024,3250.0,,,3261.05,0.0,0,0,0
9/3/2024,3250.0,,,3261.05,0.0,0,0,3200000
9/2/2024,3250.0,,,3261.05,0.0,0,0,0
8/30/2024,3250.0,,,3261.05,0.0,0,0,0
8/29/2024,3250.0,3270.0,3250.0,3261.05,0.52,324,1056580,1056580
8/27/2024,3275.0,3298.0,3199.0,3244.2,1.3,3016,9784516,9784516
8/26/2024,3210.0,,,3202.64,0.0,0,0,0
8/23/2024,3210.0,3210.0,3150.0,3202.64,0.08,1849,5921677,5921677
8/22/2024,3200.0,,,3200.0,0.0,0,0,0
8/21/2024,3200.0,,,3200.0,0.0,0,0,0
8/20/2024,3200.0,,,3200.0,0.0,0,0,0
8/19/2024,3200.0,3200.0,3200.0,3200.0,0.31,51,163200,163200
8/16/2024,3190.0,3190.0,3190.0,3190.0,-4.77,30,95700,95700
8/15/2024,3341.0,,,3349.73,0.0,0,0,0
8/14/2024,3341.0,3350.0,3341.0,3349.73,-9.76,134,448864,448864
8/13/2024,3700.0,,,3712.2,0.0,0,0,0
8/12/2024,3700.0,,,3712.2,0.0,0,0,0
8/9/2024,3700.0,,,3712.2,0.0,0,0,0
8/8/2024,3700.0,4000.0,3699.0,3712.2,0.35,660,2450052,2450052
8/7/2024,3700.0,3700.0,3697.0,3699.12,9.02,89,329222,329222
8/6/2024,3393.0,3393.0,3393.0,3393.0,1.28,65,220545,220545
