Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,1964.0,1964.0,1964.0,1964.0,-0.27,155,304420,304420
11/7/2024,1967.0,1975.0,1967.0,1969.28,-0.28,642,1264276,1264276
11/6/2024,1975.0,1990.0,1970.0,1974.75,0.29,295,582550,582550
11/5/2024,1969.0,1969.0,1969.0,1969.0,-1.4,25,49225,49225
11/4/2024,1997.0,1997.0,1997.0,1997.0,0.0,27,53919,53919
11/1/2024,1997.0,1997.0,1997.0,1997.0,2.02,138,275586,275586
10/31/2024,1960.0,1960.0,1950.0,1957.51,0.99,1065,2084750,2084750
10/30/2024,1938.0,1949.0,1920.0,1938.29,0.95,434,841220,841220
10/29/2024,1920.0,,,1920.0,0.0,0,0,0
10/28/2024,1920.0,1920.0,1920.0,1920.0,0.35,115,220800,220800
10/25/2024,1900.0,1919.0,1900.0,1913.26,-0.35,43,82270,82270
10/24/2024,1920.0,,,1920.0,0.0,0,0,0
10/22/2024,1920.0,1920.0,1920.0,1920.0,0.0,300,576000,576000
10/21/2024,1920.0,1920.0,1920.0,1920.0,-1.44,65,124800,124800
10/18/2024,1948.0,1948.0,1948.0,1948.0,1.1,5,9740,9740
10/17/2024,1920.0,,,1926.71,0.0,0,0,0
10/16/2024,1920.0,1950.0,1899.0,1926.71,-1.19,112,215792,215792
10/15/2024,1950.0,1950.0,1950.0,1950.0,0.0,560,1092000,1092000
10/14/2024,1950.0,,,1950.0,0.0,0,0,0
10/10/2024,1950.0,,,1950.0,0.0,0,0,0
10/9/2024,1950.0,1950.0,1950.0,1950.0,-0.46,95,185250,185250
10/8/2024,1959.0,1959.0,1959.0,1959.0,1.09,10,19590,19590
10/7/2024,1939.0,1939.0,1935.0,1937.92,-1.09,425,823615,823615
10/4/2024,1959.0,1965.0,1959.0,1959.34,1.04,318,623070,623070
10/3/2024,1940.0,,,1939.13,0.0,0,0,0
10/2/2024,1940.0,1940.0,1939.0,1939.13,-0.99,265,513870,513870
10/1/2024,1939.0,,,1958.53,0.0,0,0,0
9/30/2024,1939.0,1964.0,1939.0,1958.53,2.52,320,626730,626730
9/27/2024,1910.0,1911.0,1910.0,1910.33,-2.69,150,286550,286550
9/26/2024,1964.0,1964.0,1963.0,1963.15,2.95,59,115826,115826
9/25/2024,1791.0,1930.0,1791.0,1906.83,-4.13,60,114410,114410
9/24/2024,1989.0,1989.0,1989.0,1989.0,0.0,2,3978,3978
9/23/2024,1989.0,1989.0,1989.0,1989.0,0.0,1,1989,1989
9/20/2024,1989.0,,,1989.0,0.0,0,0,0
9/19/2024,1989.0,,,1989.0,0.0,0,0,0
9/18/2024,1989.0,1989.0,1989.0,1989.0,0.58,30,59670,59670
9/17/2024,1984.0,1984.0,1970.0,1977.46,-0.58,417,824602,824602
9/16/2024,1989.0,1989.0,1989.0,1989.0,0.34,234,465426,465426
9/13/2024,1980.0,1989.0,1950.0,1982.33,-0.15,721,1429262,1429262
9/12/2024,1989.0,1990.0,1960.0,1985.36,-0.09,148,293834,293834
9/11/2024,1989.0,1989.0,1987.0,1987.22,0.01,258,512704,512704
9/10/2024,1987.0,1987.0,1987.0,1987.0,1.61,5,9935,9935
9/6/2024,1989.0,,,1955.43,0.0,0,0,0
9/5/2024,1989.0,1989.0,1955.0,1955.43,-2.18,314,614006,614006
9/4/2024,1999.0,1999.0,1999.0,1999.0,0.89,5,9995,9995
9/3/2024,1999.0,1999.0,1979.0,1981.38,0.08,227,449773,449773
9/2/2024,1980.0,1980.0,1978.0,1979.74,0.08,385,762200,762200
8/30/2024,1978.0,1980.0,1975.0,1978.22,0.42,225,445100,445100
8/29/2024,1970.0,1970.0,1970.0,1970.0,-1.49,80,157600,157600
8/27/2024,2000.0,2000.0,1999.0,1999.83,1.21,590,1179900,1179900
8/26/2024,1976.0,1976.0,1976.0,1976.0,2.97,400,790400,790400
8/23/2024,1999.0,1999.0,1915.0,1919.0,3.17,210,402990,402990
8/22/2024,1860.0,1860.0,1860.0,1860.0,0.24,80,148800,148800
8/21/2024,1840.0,1868.0,1840.0,1855.5,-0.78,159,295024,295024
8/20/2024,1870.0,1870.0,1870.0,1870.0,0.0,250,467500,467500
8/19/2024,1870.0,1870.0,1870.0,1870.0,-0.01,160,299200,299200
8/16/2024,1800.0,1885.0,1800.0,1870.1,2.02,299,559160,559160
8/15/2024,1820.0,1845.0,1820.0,1833.08,1.84,130,238300,238300
8/14/2024,1800.0,,,1800.0,0.0,0,0,0
8/13/2024,1800.0,1800.0,1800.0,1800.0,-2.36,381,685800,685800
8/12/2024,1849.0,1850.0,1748.0,1843.46,2.31,345,635995,635995
8/9/2024,1800.0,1810.0,1800.0,1801.82,0.31,550,991000,991000
8/8/2024,1797.0,1797.0,1795.0,1796.19,2.1,829,1489045,1489045
8/7/2024,1755.0,1796.0,1755.0,1759.21,-2.1,78,137218,137218
8/6/2024,1797.0,1798.0,1790.0,1796.94,-0.17,190,341419,341419
8/5/2024,1800.0,1800.0,1800.0,1800.0,-2.28,270,486000,486000
8/1/2024,1835.0,1850.0,1834.0,1842.05,2.34,770,1418380,1418380
7/31/2024,1800.0,1800.0,1800.0,1800.0,-0.04,50,90000,90000
7/30/2024,1800.0,1840.0,1800.0,1800.76,-0.05,1775,3196341,3196341
7/29/2024,1843.0,1843.0,1800.0,1801.74,0.66,811,1461215,1461215
7/26/2024,1790.0,1790.0,1790.0,1790.0,2.89,200,358000,358000
7/25/2024,1780.0,1800.0,1719.0,1739.64,4.0,1382,2404188,2404188
7/24/2024,1720.0,1720.0,1650.0,1672.78,1.62,1726,2887210,2887210
7/23/2024,1645.0,1650.0,1645.0,1646.13,0.22,413,679850,679850
