Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,650.0,,,650.0,0.0,0,0,0
11/7/2024,650.0,,,650.0,0.0,0,0,0
11/6/2024,650.0,,,650.0,0.0,0,0,0
11/5/2024,650.0,,,650.0,0.0,0,0,0
11/4/2024,650.0,,,650.0,0.0,0,0,0
11/1/2024,650.0,650.0,650.0,650.0,-14.47,43,27950,27950
10/31/2024,760.0,,,760.0,0.0,0,0,0
10/30/2024,760.0,,,760.0,0.0,0,0,0
10/29/2024,760.0,,,760.0,0.0,0,0,0
10/28/2024,760.0,,,760.0,0.0,0,0,0
10/25/2024,760.0,,,760.0,0.0,0,0,0
10/24/2024,760.0,,,760.0,0.0,0,0,0
10/22/2024,760.0,,,760.0,0.0,0,0,0
10/21/2024,760.0,,,760.0,0.0,0,0,0
10/18/2024,760.0,,,760.0,0.0,0,0,0
10/17/2024,760.0,,,760.0,0.0,0,0,0
10/16/2024,760.0,,,760.0,0.0,0,0,0
10/15/2024,760.0,,,760.0,0.0,0,0,0
10/14/2024,760.0,,,760.0,0.0,0,0,0
10/10/2024,760.0,,,760.0,0.0,0,0,0
10/9/2024,760.0,,,760.0,0.0,0,0,0
10/8/2024,760.0,,,760.0,0.0,0,0,0
10/7/2024,760.0,,,760.0,0.0,0,0,0
10/4/2024,760.0,,,760.0,0.0,0,0,0
10/3/2024,760.0,,,760.0,0.0,0,0,0
10/2/2024,760.0,,,760.0,0.0,0,0,0
10/1/2024,760.0,,,760.0,0.0,0,0,0
9/30/2024,760.0,,,760.0,0.0,0,0,0
9/27/2024,760.0,,,760.0,0.0,0,0,0
9/26/2024,760.0,,,760.0,0.0,0,0,0
9/25/2024,760.0,,,760.0,0.0,0,0,0
9/24/2024,760.0,760.0,760.0,760.0,-0.13,32,24320,24320
9/23/2024,761.0,,,761.0,0.0,0,0,0
9/20/2024,761.0,,,761.0,0.0,0,0,0
9/19/2024,761.0,,,761.0,0.0,0,0,0
9/18/2024,761.0,,,761.0,0.0,0,0,0
9/17/2024,761.0,,,761.0,0.0,0,0,0
9/16/2024,761.0,,,761.0,0.0,0,0,0
9/13/2024,761.0,761.0,761.0,761.0,0.79,100,76100,76100
9/12/2024,755.0,,,755.0,0.0,0,0,0
9/11/2024,755.0,,,755.0,0.0,0,0,0
9/10/2024,755.0,,,755.0,0.0,0,0,0
9/6/2024,755.0,,,755.0,0.0,0,0,0
9/5/2024,755.0,,,755.0,0.0,0,0,0
9/4/2024,755.0,,,755.0,0.0,0,0,0
9/3/2024,755.0,,,755.0,0.0,0,0,0
9/2/2024,755.0,,,755.0,0.0,0,0,0
8/30/2024,755.0,,,755.0,0.0,0,0,0
8/29/2024,755.0,,,755.0,0.0,0,0,0
8/27/2024,755.0,,,755.0,0.0,0,0,0
8/26/2024,755.0,,,755.0,0.0,0,0,0
8/23/2024,755.0,,,755.0,0.0,0,0,0
8/22/2024,755.0,,,755.0,0.0,0,0,0
8/21/2024,755.0,,,755.0,0.0,0,0,0
8/20/2024,755.0,,,755.0,0.0,0,0,0
8/19/2024,755.0,,,755.0,0.0,0,0,0
8/16/2024,755.0,,,755.0,0.0,0,0,0
8/15/2024,755.0,,,755.0,0.0,0,0,0
8/14/2024,755.0,,,755.0,0.0,0,0,0
8/13/2024,755.0,,,755.0,0.0,0,0,0
8/12/2024,755.0,,,755.0,0.0,0,0,0
8/9/2024,755.0,755.0,755.0,755.0,-2.96,150,113250,113250
8/8/2024,778.0,,,778.0,0.0,0,0,0
8/7/2024,778.0,,,778.0,0.0,0,0,0
8/6/2024,778.0,,,778.0,0.0,0,0,0
8/5/2024,778.0,,,778.0,0.0,0,0,0
8/1/2024,778.0,,,778.0,0.0,0,0,0
7/31/2024,778.0,,,778.0,0.0,0,0,0
7/30/2024,778.0,,,778.0,0.0,0,0,0
7/29/2024,778.0,,,778.0,0.0,0,0,0
7/26/2024,778.0,,,778.0,0.0,0,0,0
7/25/2024,778.0,,,778.0,0.0,0,0,0
7/24/2024,778.0,,,778.0,0.0,0,0,0
7/23/2024,778.0,,,778.0,0.0,0,0,0
7/22/2024,778.0,,,778.0,0.0,0,0,0
7/19/2024,778.0,,,778.0,0.0,0,0,0
7/18/2024,778.0,,,778.0,0.0,0,0,0
7/17/2024,778.0,,,778.0,0.0,0,0,0
7/16/2024,778.0,,,778.0,0.0,0,0,0
7/15/2024,778.0,,,778.0,0.0,0,0,0
7/12/2024,778.0,,,778.0,0.0,0,0,0
7/11/2024,778.0,,,778.0,0.0,0,0,0
7/10/2024,778.0,,,778.0,0.0,0,0,0
7/9/2024,778.0,,,778.0,0.0,0,0,0
7/8/2024,778.0,778.0,778.0,778.0,2.91,130,101140,101140
7/5/2024,756.0,756.0,756.0,756.0,0.0,11,8316,8316
7/4/2024,756.0,,,756.0,0.0,0,0,0
7/3/2024,756.0,,,756.0,0.0,0,0,0
7/2/2024,756.0,,,756.0,0.0,0,0,0
7/1/2024,756.0,,,756.0,0.0,0,0,0
6/28/2024,756.0,,,756.0,0.0,0,0,0
6/27/2024,756.0,,,756.0,0.0,0,0,0
6/26/2024,756.0,,,756.0,0.0,0,0,0
6/25/2024,756.0,,,756.0,0.0,0,0,0
