Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,2635.0,,,2635.0,0.0,0,0,0
11/7/2024,2635.0,2635.0,2635.0,2635.0,-2.98,160,421600,421600
11/6/2024,2716.0,,,2716.0,0.0,0,0,0
11/5/2024,2716.0,,,2716.0,0.0,0,0,0
11/4/2024,2716.0,,,2716.0,0.0,0,0,0
11/1/2024,2716.0,,,2716.0,0.0,0,0,0
10/31/2024,2716.0,,,2716.0,0.0,0,0,0
10/30/2024,2716.0,,,2716.0,0.0,0,0,0
10/29/2024,2716.0,,,2716.0,0.0,0,0,0
10/28/2024,2716.0,,,2716.0,0.0,0,0,0
10/25/2024,2716.0,,,2716.0,0.0,0,0,0
10/24/2024,2716.0,,,2716.0,0.0,0,0,0
10/22/2024,2716.0,,,2716.0,0.0,0,0,0
10/21/2024,2716.0,,,2716.0,0.0,0,0,0
10/18/2024,2716.0,,,2716.0,0.0,0,0,0
10/17/2024,2716.0,,,2716.0,0.0,0,0,0
10/16/2024,2716.0,,,2716.0,0.0,0,0,0
10/15/2024,2716.0,,,2716.0,0.0,0,0,0
10/14/2024,2716.0,,,2716.0,0.0,0,0,0
10/10/2024,2716.0,,,2716.0,0.0,0,0,0
10/9/2024,2716.0,,,2716.0,0.0,0,0,0
10/8/2024,2716.0,2716.0,2716.0,2716.0,-3.0,70,190120,190120
10/7/2024,2800.0,,,2800.0,0.0,0,0,0
10/4/2024,2800.0,,,2800.0,0.0,0,0,0
10/3/2024,2800.0,,,2800.0,0.0,0,0,0
10/2/2024,2800.0,,,2800.0,0.0,0,0,0
10/1/2024,2800.0,,,2800.0,0.0,0,0,0
9/30/2024,2800.0,,,2800.0,0.0,0,0,0
9/27/2024,2800.0,,,2800.0,0.0,0,0,0
9/26/2024,2800.0,,,2800.0,0.0,0,0,0
9/25/2024,2800.0,,,2800.0,0.0,0,0,0
9/24/2024,2800.0,,,2800.0,0.0,0,0,0
9/23/2024,2800.0,,,2800.0,0.0,0,0,0
9/20/2024,2800.0,,,2800.0,0.0,0,0,0
9/19/2024,2800.0,,,2800.0,0.0,0,0,0
9/18/2024,2800.0,,,2800.0,0.0,0,0,0
9/17/2024,2800.0,,,2800.0,0.0,0,0,0
9/16/2024,2800.0,,,2800.0,0.0,0,0,0
9/13/2024,2800.0,2800.0,2800.0,2800.0,-1.75,40,112000,112000
9/12/2024,2850.0,,,2850.0,0.0,0,0,0
9/11/2024,2850.0,,,2850.0,0.0,0,0,0
9/10/2024,2850.0,,,2850.0,0.0,0,0,0
9/6/2024,2850.0,2850.0,2850.0,2850.0,0.0,17,48450,48450
9/5/2024,2850.0,,,2850.0,0.0,0,0,0
9/4/2024,2850.0,,,2850.0,0.0,0,0,0
9/3/2024,2850.0,2850.0,2850.0,2850.0,-1.69,50,142500,142500
9/2/2024,2899.0,,,2899.0,0.0,0,0,0
8/30/2024,2899.0,2899.0,2899.0,2899.0,-1.73,95,275405,275405
8/29/2024,2950.0,,,2950.0,0.0,0,0,0
8/27/2024,2950.0,,,2950.0,0.0,0,0,0
8/26/2024,2950.0,,,2950.0,0.0,0,0,0
8/23/2024,2950.0,,,2950.0,0.0,0,0,0
8/22/2024,2950.0,,,2950.0,0.0,0,0,0
8/21/2024,2950.0,,,2950.0,0.0,0,0,0
8/20/2024,2950.0,,,2950.0,0.0,0,0,0
8/19/2024,2950.0,,,2950.0,0.0,0,0,0
8/16/2024,2950.0,,,2950.0,0.0,0,0,0
8/15/2024,2950.0,2950.0,2950.0,2950.0,-0.41,1,2950,2950
8/14/2024,2962.0,,,2962.0,0.0,0,0,0
8/13/2024,2962.0,,,2962.0,0.0,0,0,0
8/12/2024,2962.0,,,2962.0,0.0,0,0,0
8/9/2024,2962.0,,,2962.0,0.0,0,0,0
8/8/2024,2962.0,2962.0,2962.0,2962.0,-2.97,60,177720,177720
8/7/2024,3149.0,,,3052.67,0.0,0,0,0
8/6/2024,3149.0,,,3052.67,0.0,0,0,0
8/5/2024,3149.0,,,3052.67,0.0,0,0,0
8/1/2024,3149.0,,,3052.67,0.0,0,0,0
7/31/2024,3149.0,3150.0,2870.0,3052.67,6.36,903,2756561,12742061
7/30/2024,2870.0,,,2870.0,0.0,0,0,0
7/29/2024,2870.0,,,2870.0,0.0,0,0,0
7/26/2024,2870.0,,,2870.0,0.0,0,0,0
7/25/2024,2870.0,2870.0,2870.0,2870.0,0.0,22,63140,63140
7/24/2024,2870.0,2870.0,2870.0,2870.0,0.0,2,5740,5740
7/23/2024,2870.0,,,2870.0,0.0,0,0,0
7/22/2024,2870.0,,,2870.0,0.0,0,0,0
7/19/2024,2870.0,2870.0,2870.0,2870.0,-3.37,10,28700,28700
7/18/2024,2970.0,,,2970.0,0.0,0,0,0
7/17/2024,2970.0,2970.0,2970.0,2970.0,10.0,2,5940,5940
7/16/2024,2700.0,,,2700.0,0.0,0,0,0
7/15/2024,2700.0,2700.0,2700.0,2700.0,-10.0,7,18900,18900
7/12/2024,3000.0,,,3000.0,0.0,0,0,0
7/11/2024,3000.0,,,3000.0,0.0,0,0,0
7/10/2024,3000.0,,,3000.0,0.0,0,0,0
7/9/2024,3000.0,,,3000.0,0.0,0,0,0
7/8/2024,3000.0,,,3000.0,0.0,0,0,0
7/5/2024,3000.0,,,3000.0,0.0,0,0,0
7/4/2024,3000.0,,,3000.0,0.0,0,0,0
7/3/2024,3000.0,,,3000.0,0.0,0,0,0
7/2/2024,3000.0,,,3000.0,0.0,0,0,0
7/1/2024,3000.0,,,3000.0,0.0,0,0,0
6/28/2024,3000.0,,,3000.0,0.0,0,0,0
