Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,45000.0,45000.0,45000.0,45000.0,0.0,20,900000,900000
11/7/2024,45000.0,45000.0,45000.0,45000.0,0.46,42,1890000,1890000
11/6/2024,44750.0,45000.0,44750.0,44793.57,-0.25,23,1030252,1030252
11/5/2024,45000.0,45000.0,44750.0,44907.11,0.4,90,4041640,4041640
11/4/2024,44750.0,44880.0,44700.0,44727.8,-0.02,104,4651691,4651691
11/1/2024,44750.0,44880.0,44700.0,44734.9,-0.35,51,2281480,2281480
10/31/2024,44890.0,44890.0,44890.0,44890.0,-0.02,23,1032470,1032470
10/30/2024,44900.0,44900.0,44900.0,44900.0,0.69,6,269400,269400
10/29/2024,44551.0,44995.0,44551.0,44592.3,-0.81,54,2407984,2407984
10/28/2024,44994.0,44997.0,44550.0,44954.46,0.57,63,2832131,2832131
10/25/2024,44700.0,44700.0,44700.0,44700.0,0.22,9,402300,402300
10/24/2024,44600.0,44600.0,44600.0,44600.0,-0.22,15,669000,669000
10/22/2024,44700.0,44700.0,44700.0,44700.0,-0.32,20,894000,894000
10/21/2024,44700.0,44998.0,44700.0,44841.9,-0.35,21,941680,941680
10/18/2024,44998.0,44998.0,44998.0,44998.0,0.0,13,584974,584974
10/17/2024,44999.0,,,44998.8,0.0,0,0,0
10/16/2024,44999.0,44999.0,44998.0,44998.8,0.0,5,224994,224994
10/15/2024,44998.0,44998.0,44998.0,44998.0,0.0,13,584974,584974
10/14/2024,44995.0,45000.0,44990.0,44997.44,0.14,27,1214931,1214931
10/10/2024,44999.0,44999.0,44890.0,44935.56,0.75,27,1213260,1213260
10/9/2024,44601.0,44601.0,44601.0,44601.0,-0.22,2,89202,89202
10/8/2024,44700.0,44701.0,44700.0,44700.4,-0.53,10,447004,447004
10/7/2024,44998.0,44998.0,44600.0,44940.43,0.69,14,629166,629166
10/4/2024,44250.0,44880.0,44250.0,44634.62,-0.56,13,580250,580250
10/3/2024,44850.0,44900.0,44850.0,44885.86,-0.03,14,628402,628402
10/2/2024,44900.0,44900.0,44900.0,44900.0,-0.11,10,449000,449000
10/1/2024,44949.0,44949.0,44949.0,44949.0,0.22,5,224745,224745
9/30/2024,44850.0,44850.0,44850.0,44850.0,-0.33,3,134550,134550
9/27/2024,44999.0,44999.0,44999.0,44999.0,0.0,15,674985,674985
9/26/2024,45000.0,45000.0,45000.0,45000.0,0.0,21,945000,945000
9/25/2024,45000.0,45000.0,44995.0,44999.0,0.01,15,674985,674985
9/24/2024,44995.0,44999.0,44995.0,44996.18,-0.01,17,764935,764935
9/23/2024,44999.0,44999.0,44999.0,44999.0,0.0,33,1484967,1484967
9/20/2024,45000.0,45000.0,44999.0,44999.14,0.0,7,314994,314994
9/19/2024,44998.0,44998.0,44998.0,44998.0,0.0,40,1799920,1799920
9/18/2024,44998.0,45000.0,44994.0,44996.89,0.0,72,3239776,3239776
9/17/2024,44999.0,44999.0,44999.0,44999.0,0.22,4,179996,179996
9/16/2024,44900.0,45000.0,44900.0,44901.62,-0.5,117,5253490,5253490
