Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,1950.0,1950.0,1950.0,1950.0,0.26,175,341250,341250
11/7/2024,1945.0,,,1945.0,0.0,0,0,0
11/6/2024,1945.0,,,1945.0,0.0,0,0,0
11/5/2024,1945.0,,,1945.0,0.0,0,0,0
11/4/2024,1945.0,,,1945.0,0.0,0,0,0
11/1/2024,1945.0,,,1945.0,0.0,0,0,0
10/31/2024,1945.0,,,1945.0,0.0,0,0,0
10/30/2024,1945.0,1945.0,1945.0,1945.0,-0.05,125,243125,243125
10/29/2024,1946.0,1946.0,1946.0,1946.0,0.0,91,177086,177086
10/28/2024,1946.0,1946.0,1946.0,1946.0,-2.99,110,214060,214060
10/25/2024,2006.0,,,2006.0,0.0,0,0,0
10/24/2024,2006.0,,,2006.0,0.0,0,0,0
10/22/2024,2006.0,,,2006.0,0.0,0,0,0
10/21/2024,2006.0,,,2006.0,0.0,0,0,0
10/18/2024,2006.0,2006.0,2006.0,2006.0,0.0,3,6018,6018
10/17/2024,2006.0,2006.0,2006.0,2006.0,3.53,6,12036,12036
10/16/2024,1900.0,1946.0,1900.0,1937.64,-0.43,11,21314,21314
10/15/2024,1946.0,1946.0,1946.0,1946.0,-2.99,300,583800,583800
10/14/2024,2006.0,2006.0,2006.0,2006.0,8.43,10,20060,20060
10/10/2024,1850.0,1850.0,1850.0,1850.0,-7.41,165,305250,305250
10/9/2024,1998.0,1998.0,1998.0,1998.0,0.0,10,19980,19980
10/8/2024,1998.0,1998.0,1998.0,1998.0,2.46,14,27972,27972
10/7/2024,1950.0,,,1950.0,0.0,0,0,0
10/4/2024,1950.0,1950.0,1950.0,1950.0,0.1,16,31200,31200
10/3/2024,1920.0,,,1947.97,0.0,0,0,0
10/2/2024,1920.0,,,1947.97,0.0,0,0,0
10/1/2024,1920.0,,,1947.97,0.0,0,0,0
9/30/2024,1920.0,,,1947.97,0.0,0,0,0
9/27/2024,1920.0,,,1947.97,0.0,0,0,0
9/26/2024,1920.0,,,1947.97,0.0,0,0,0
9/25/2024,1920.0,1972.0,1920.0,1947.97,-1.22,760,1480460,1480460
9/24/2024,1972.0,1972.0,1972.0,1972.0,6.71,20,39440,39440
9/23/2024,1848.0,1848.0,1848.0,1848.0,2.98,57,105336,105336
9/20/2024,1800.0,,,1794.52,0.0,0,0,0
9/19/2024,1800.0,,,1794.52,0.0,0,0,0
9/18/2024,1800.0,1800.0,1790.0,1794.52,3.31,73,131000,131000
9/17/2024,1790.0,1790.0,1721.0,1737.05,-0.46,43,74693,74693
9/16/2024,1741.0,,,1745.1,0.0,0,0,0
9/13/2024,1741.0,1780.0,1731.0,1745.1,1.46,1423,2483271,2483271
9/12/2024,1720.0,1720.0,1720.0,1720.0,0.0,25,43000,43000
9/11/2024,1720.0,,,1720.0,0.0,0,0,0
9/10/2024,1720.0,1720.0,1720.0,1720.0,-1.21,221,380120,380120
9/6/2024,1741.0,,,1741.0,0.0,0,0,0
9/5/2024,1741.0,1741.0,1741.0,1741.0,0.0,10,17410,17410
9/4/2024,1741.0,,,1741.0,0.0,0,0,0
9/3/2024,1741.0,,,1741.0,0.0,0,0,0
9/2/2024,1741.0,,,1741.0,0.0,0,0,0
8/30/2024,1741.0,1741.0,1741.0,1741.0,-2.19,206,358646,358646
8/29/2024,1780.0,1780.0,1780.0,1780.0,0.32,100,178000,178000
8/27/2024,1760.0,1781.0,1760.0,1774.32,2.56,88,156140,156140
8/26/2024,1730.0,,,1730.0,0.0,0,0,0
8/23/2024,1730.0,1730.0,1730.0,1730.0,0.11,154,266420,266420
8/22/2024,1739.0,1739.0,1691.0,1728.13,2.2,53,91591,91591
8/21/2024,1691.0,1691.0,1691.0,1691.0,0.0,349,590159,590159
8/20/2024,1691.0,1691.0,1691.0,1691.0,5.42,11,18601,18601
8/19/2024,1604.0,,,1604.0,0.0,0,0,0
8/16/2024,1604.0,1604.0,1604.0,1604.0,0.25,31,49724,49724
8/15/2024,1600.0,,,1600.0,0.0,0,0,0
8/14/2024,1600.0,1600.0,1600.0,1600.0,-2.56,500,800000,800000
8/13/2024,1642.0,1642.0,1642.0,1642.0,-2.96,21,34482,34482
8/12/2024,1692.0,1692.0,1692.0,1692.0,-2.98,14,23688,23688
8/9/2024,1744.0,1744.0,1744.0,1744.0,-0.11,6,10464,10464
8/8/2024,1746.0,,,1746.0,0.0,0,0,2390274
8/7/2024,1746.0,1746.0,1746.0,1746.0,-3.0,40,69840,69840
8/6/2024,1800.0,,,1800.0,0.0,0,0,0
8/5/2024,1800.0,,,1800.0,0.0,0,0,0
8/1/2024,1800.0,1800.0,1800.0,1800.0,-1.8,20,36000,36000
7/31/2024,1833.0,1833.0,1833.0,1833.0,-2.96,110,201630,201630
7/30/2024,1889.0,1889.0,1889.0,1889.0,8.45,10,18890,18890
7/29/2024,1749.0,1749.0,1640.0,1741.88,6.21,153,266507,266507
7/26/2024,1640.0,1640.0,1640.0,1640.0,2.5,10,16400,16400
7/25/2024,1600.0,1600.0,1600.0,1600.0,1.24,75,120000,120000
7/24/2024,1590.0,1590.0,1580.0,1580.38,-1.23,104,164360,164360
7/23/2024,1600.0,1600.0,1600.0,1600.0,0.02,59,94400,94400
7/22/2024,1600.0,1600.0,1599.0,1599.75,-0.01,200,319950,319950
7/19/2024,1600.0,1600.0,1599.0,1599.92,0.0,416,665568,665568
7/18/2024,1600.0,1600.0,1600.0,1600.0,3.23,50,80000,80000
7/17/2024,1550.0,1550.0,1550.0,1550.0,1.71,38,58900,58900
7/16/2024,1524.0,,,1524.0,0.0,0,0,2612200
7/15/2024,1524.0,,,1524.0,0.0,0,0,6292960
7/12/2024,1524.0,,,1524.0,0.0,0,0,0
7/11/2024,1524.0,,,1524.0,0.0,0,0,0
7/10/2024,1524.0,1524.0,1524.0,1524.0,1.6,30,45720,45720
7/9/2024,1500.0,1500.0,1500.0,1500.0,1.37,50,75000,75000
7/8/2024,1480.0,,,1479.67,0.0,0,0,0
7/5/2024,1480.0,1480.0,1479.0,1479.67,-0.02,203,300373,300373
7/4/2024,1480.0,,,1480.0,0.0,0,0,0
7/3/2024,1480.0,1480.0,1480.0,1480.0,0.05,69,102120,102120
7/2/2024,1480.0,,,1479.25,0.0,0,0,0
7/1/2024,1480.0,1480.0,1452.0,1479.25,1.15,75,110944,110944
6/28/2024,1480.0,,,1462.5,0.0,0,0,0
6/27/2024,1480.0,1480.0,1450.0,1462.5,0.87,12,17550,17550
6/26/2024,1450.0,,,1449.84,0.0,0,0,0
6/25/2024,1450.0,,,1449.84,0.0,0,0,0
6/24/2024,1450.0,,,1449.84,0.0,0,0,0
6/20/2024,1450.0,,,1449.84,0.0,0,0,0
6/19/2024,1450.0,1450.0,1449.0,1449.84,-0.01,234,339262,339262
6/18/2024,1450.0,,,1450.0,0.0,0,0,0
6/17/2024,1450.0,,,1450.0,0.0,0,0,0
6/14/2024,1450.0,1450.0,1450.0,1450.0,1.4,17,24650,24650
6/13/2024,1430.0,1430.0,1430.0,1430.0,0.29,6,8580,8580
6/12/2024,1430.0,,,1425.85,0.0,0,0,0
6/11/2024,1430.0,,,1425.85,0.0,0,0,0
6/10/2024,1430.0,,,1425.85,0.0,0,0,0
6/7/2024,1430.0,,,1425.85,0.0,0,0,0
6/6/2024,1430.0,,,1425.85,0.0,0,0,0
6/5/2024,1430.0,1430.0,1420.0,1425.85,1.41,272,387830,387830
6/4/2024,1406.0,,,1406.0,0.0,0,0,0
6/3/2024,1406.0,,,1406.0,0.0,0,0,0
5/31/2024,1406.0,,,1406.0,0.0,0,0,0
5/30/2024,1406.0,1406.0,1406.0,1406.0,-5.0,106,149036,149036
5/29/2024,1480.0,,,1480.0,0.0,0,0,0
5/28/2024,1480.0,,,1480.0,0.0,0,0,0
5/27/2024,1480.0,,,1480.0,0.0,0,0,0
5/23/2024,1480.0,1480.0,1480.0,1480.0,1.4,100,148000,148000
5/22/2024,1460.0,1460.0,1459.0,1459.5,0.03,200,291900,291900
5/21/2024,1459.0,1459.0,1459.0,1459.0,0.33,40,58360,58360
5/20/2024,1430.0,1459.0,1430.0,1454.17,0.74,600,872500,872500
5/17/2024,1450.0,1462.0,1420.0,1443.49,1.65,289,417170,417170
5/16/2024,1420.0,1420.0,1420.0,1420.0,-1.73,31,44020,44020
5/15/2024,1445.0,1445.0,1445.0,1445.0,-0.97,89,128605,128605
5/14/2024,1460.0,,,1459.2,0.0,0,0,0
5/13/2024,1460.0,,,1459.2,0.0,0,0,0
5/10/2024,1460.0,1460.0,1450.0,1459.2,0.48,348,507800,507800
5/9/2024,1458.0,,,1452.24,0.0,0,0,0
5/7/2024,1458.0,,,1452.24,0.0,0,0,0
5/2/2024,1458.0,,,1452.24,0.0,0,0,0
4/30/2024,1458.0,1458.0,1450.0,1452.24,0.15,221,320946,320946
4/29/2024,1450.0,,,1450.0,0.0,0,0,0
4/26/2024,1450.0,,,1450.0,0.0,0,0,0
4/25/2024,1450.0,,,1450.0,0.0,0,0,0
4/23/2024,1450.0,1450.0,1450.0,1450.0,0.0,144,208800,208800
4/22/2024,1450.0,,,1450.0,0.0,0,0,0
4/19/2024,1450.0,1450.0,1450.0,1450.0,2.84,10,14500,14500
4/18/2024,1410.0,1410.0,1410.0,1410.0,0.34,53,74730,74730
4/17/2024,1404.0,,,1405.24,0.0,0,0,0
4/16/2024,1404.0,,,1405.24,0.0,0,0,0
4/15/2024,1404.0,1410.0,1404.0,1405.24,0.07,209,293696,293696
4/12/2024,1404.0,1405.0,1404.0,1404.32,-0.05,155,217670,217670
4/11/2024,1405.0,1405.0,1405.0,1405.0,-2.92,149,209345,209345
4/9/2024,1455.0,,,1447.31,0.0,0,0,0
4/8/2024,1455.0,,,1447.31,0.0,0,0,0
4/5/2024,1455.0,,,1447.31,0.0,0,0,0
4/4/2024,1455.0,,,1447.31,0.0,0,0,0
4/3/2024,1455.0,,,1447.31,0.0,0,0,0
4/2/2024,1455.0,1455.0,1440.0,1447.31,-3.45,400,578925,578925
4/1/2024,1499.0,1499.0,1499.0,1499.0,3.02,32,47968,47968
3/29/2024,1455.0,,,1455.0,0.0,0,0,0
3/28/2024,1455.0,,,1455.0,0.0,0,0,0
3/27/2024,1455.0,1455.0,1455.0,1455.0,-3.0,365,531075,531075
3/26/2024,1500.0,1500.0,1500.0,1500.0,-0.95,57,85500,85500
3/25/2024,1535.0,1535.0,1510.0,1514.41,0.96,170,257450,257450
3/22/2024,1500.0,1500.0,1500.0,1500.0,-2.6,379,568500,568500
3/21/2024,1540.0,1540.0,1540.0,1540.0,2.41,51,78540,78540
3/20/2024,1510.0,1510.0,1500.0,1503.69,0.25,103,154880,154880
3/19/2024,1500.0,1500.0,1500.0,1500.0,0.07,200,300000,300000
3/18/2024,1499.0,1499.0,1499.0,1499.0,1.97,15,22485,22485
3/15/2024,1470.0,,,1470.0,0.0,0,0,0
3/14/2024,1470.0,,,1470.0,0.0,0,0,0
3/13/2024,1470.0,1470.0,1470.0,1470.0,-0.43,110,161700,161700
3/12/2024,1455.0,1500.0,1455.0,1476.42,-1.57,385,568420,568420
3/11/2024,1500.0,,,1500.0,0.0,0,0,0
3/8/2024,1500.0,1500.0,1500.0,1500.0,0.27,9,13500,13500
3/7/2024,1500.0,1500.0,1470.0,1495.98,1.7,127,189990,189990
3/6/2024,1471.0,,,1471.0,0.0,0,0,0
3/5/2024,1471.0,,,1471.0,0.0,0,0,0
3/4/2024,1471.0,,,1471.0,0.0,0,0,0
3/1/2024,1471.0,1471.0,1471.0,1471.0,-2.9,31,45601,45601
2/29/2024,1545.0,1545.0,1500.0,1515.0,4.59,150,227250,227250
2/28/2024,1450.0,1450.0,1447.0,1448.46,0.59,886,1283338,1283338
2/27/2024,1440.0,1440.0,1440.0,1440.0,-0.62,23,33120,33120
2/26/2024,1449.0,,,1449.0,0.0,0,0,0
2/23/2024,1449.0,,,1449.0,0.0,0,0,0
2/22/2024,1449.0,,,1449.0,0.0,0,0,0
2/21/2024,1449.0,,,1449.0,0.0,0,0,0
2/20/2024,1449.0,,,1449.0,0.0,0,0,0
2/19/2024,1449.0,1449.0,1449.0,1449.0,0.06,8,11592,11592
2/16/2024,1448.0,1449.0,1448.0,1448.16,-0.1,179,259221,259221
2/15/2024,1450.0,1450.0,1449.0,1449.65,3.55,577,836450,836450
2/14/2024,1400.0,1400.0,1400.0,1400.0,-3.38,140,196000,196000
2/13/2024,1449.0,,,1449.0,0.0,0,0,0
2/12/2024,1449.0,,,1449.0,0.0,0,0,0
2/9/2024,1449.0,,,1449.0,0.0,0,0,0
2/8/2024,1449.0,1449.0,1449.0,1449.0,1.39,8,11592,11592
