Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
11/8/2024,7200.0,,,7200.0,0.0,0,0,0
11/7/2024,7200.0,,,7200.0,0.0,0,0,0
11/6/2024,7200.0,,,7200.0,0.0,0,0,0
11/5/2024,7200.0,7200.0,7200.0,7200.0,0.88,10,72000,72000
11/4/2024,7285.0,7285.0,7100.0,7137.0,-2.02,10,71370,71370
11/1/2024,7284.0,7284.0,7284.0,7284.0,2.59,7,50988,50988
10/31/2024,7100.0,,,7100.0,0.0,0,0,0
10/30/2024,7100.0,,,7100.0,0.0,0,0,0
10/29/2024,7100.0,,,7100.0,0.0,0,0,0
10/28/2024,7100.0,,,7100.0,0.0,0,0,0
10/25/2024,7100.0,,,7100.0,0.0,0,0,0
10/24/2024,7100.0,,,7100.0,0.0,0,0,0
10/22/2024,7100.0,,,7100.0,0.0,0,0,0
10/21/2024,7100.0,7100.0,7100.0,7100.0,-1.39,20,142000,142000
10/18/2024,7200.0,,,7200.0,0.0,0,0,0
10/17/2024,7200.0,7200.0,7200.0,7200.0,0.0,11,79200,79200
10/16/2024,7200.0,7200.0,7200.0,7200.0,0.0,130,936000,936000
10/15/2024,7200.0,7200.0,7200.0,7200.0,-1.22,685,4932000,4932000
10/14/2024,7289.0,,,7289.0,0.0,0,0,0
10/10/2024,7289.0,,,7289.0,0.0,0,0,0
10/9/2024,7289.0,,,7289.0,0.0,0,0,0
10/8/2024,7289.0,,,7289.0,0.0,0,0,0
10/7/2024,7289.0,,,7289.0,0.0,0,0,0
10/4/2024,7289.0,,,7289.0,0.0,0,0,0
10/3/2024,7289.0,,,7289.0,0.0,0,0,0
10/2/2024,7289.0,,,7289.0,0.0,0,0,0
10/1/2024,7289.0,7289.0,7289.0,7289.0,1.96,10,72890,72890
9/30/2024,7150.0,7150.0,7149.0,7149.13,-0.71,287,2051800,2051800
9/27/2024,7200.0,,,7200.0,0.0,0,0,0
9/26/2024,7200.0,7200.0,7200.0,7200.0,2.86,10,72000,72000
9/25/2024,7000.0,7000.0,7000.0,7000.0,-0.3,53,371000,371000
9/24/2024,7000.0,7030.0,7000.0,7020.91,-1.81,33,231690,231690
9/23/2024,7150.0,,,7150.0,0.0,0,0,0
9/20/2024,7150.0,,,7150.0,0.0,0,0,0
9/19/2024,7150.0,7150.0,7150.0,7150.0,1.71,500,3575000,3575000
9/18/2024,7030.0,7030.0,7030.0,7030.0,0.12,36,253080,253080
9/17/2024,7050.0,,,7021.43,0.0,0,0,0
9/16/2024,7050.0,7050.0,7000.0,7021.43,0.18,35,245750,245750
9/13/2024,7000.0,7149.0,7000.0,7008.47,0.46,174,1219473,1219473
9/12/2024,7000.0,7000.0,6970.0,6976.38,0.09,127,886000,886000
9/11/2024,6970.0,6970.0,6970.0,6970.0,-0.14,50,348500,348500
9/10/2024,6980.0,,,6980.0,0.0,0,0,0
9/6/2024,6980.0,6980.0,6980.0,6980.0,-0.03,80,558400,558400
9/5/2024,7000.0,,,6982.35,0.0,0,0,0
9/4/2024,7000.0,,,6982.35,0.0,0,0,0
9/3/2024,7000.0,,,6982.35,0.0,0,0,0
9/2/2024,7000.0,,,6982.35,0.0,0,0,0
8/30/2024,7000.0,,,6982.35,0.0,0,0,0
8/29/2024,7000.0,,,6982.35,0.0,0,0,0
8/27/2024,7000.0,7000.0,6900.0,6982.35,1.93,34,237400,237400
8/26/2024,6850.0,,,6850.0,0.0,0,0,0
8/23/2024,6850.0,,,6850.0,0.0,0,0,0
8/22/2024,6850.0,6850.0,6850.0,6850.0,-0.72,30,205500,205500
8/21/2024,6900.0,,,6900.0,0.0,0,0,0
8/20/2024,6900.0,6900.0,6900.0,6900.0,-0.73,50,345000,345000
8/19/2024,6951.0,,,6950.72,0.0,0,0,0
8/16/2024,6951.0,,,6950.72,0.0,0,0,0
8/15/2024,6951.0,6951.0,6950.0,6950.72,0.01,36,250226,250226
8/14/2024,6950.0,6950.0,6950.0,6950.0,-0.56,59,410050,410050
8/13/2024,6950.0,,,6989.0,0.0,0,0,0
8/12/2024,6950.0,7000.0,6950.0,6989.0,1.11,50,349450,349450
8/9/2024,6900.0,7100.0,6900.0,6912.5,-1.24,16,110600,110600
8/8/2024,6999.0,6999.0,6999.0,6999.0,-0.01,20,139980,139980
8/7/2024,7000.0,7000.0,7000.0,7000.0,0.0,62,434000,434000
8/6/2024,7000.0,,,7000.0,0.0,0,0,0
8/5/2024,7000.0,7000.0,7000.0,7000.0,-2.2,40,280000,280000
8/1/2024,7150.0,7190.0,7150.0,7157.75,-0.45,71,508200,508200
7/31/2024,7190.0,7190.0,7190.0,7190.0,0.0,50,359500,359500
7/30/2024,7190.0,7190.0,7190.0,7190.0,0.0,50,359500,359500
7/29/2024,7200.0,7200.0,7180.0,7190.22,0.14,92,661500,661500
7/26/2024,7180.0,7180.0,7180.0,7180.0,-0.26,60,430800,430800
7/25/2024,7199.0,7199.0,7199.0,7199.0,-0.01,5,35995,35995
7/24/2024,7200.0,7200.0,7200.0,7200.0,0.0,10,72000,72000
7/23/2024,7200.0,7200.0,7200.0,7200.0,0.0,4,28800,28800
7/22/2024,7200.0,7200.0,7200.0,7200.0,0.7,20,144000,144000
7/19/2024,7150.0,,,7150.0,0.0,0,0,0
7/18/2024,7150.0,7150.0,7150.0,7150.0,2.88,3,21450,21450
7/17/2024,6950.0,6950.0,6950.0,6950.0,-0.71,32,222400,222400
7/16/2024,7000.0,7000.0,7000.0,7000.0,0.36,10,70000,70000
7/15/2024,7000.0,,,6975.0,0.0,0,0,0
7/12/2024,7000.0,,,6975.0,0.0,0,0,0
7/11/2024,7000.0,7000.0,6950.0,6975.0,0.36,20,139500,139500
7/10/2024,6950.0,,,6950.0,0.0,0,0,0
7/9/2024,6950.0,,,6950.0,0.0,0,0,0
7/8/2024,6950.0,,,6950.0,0.0,0,0,0
7/5/2024,6950.0,6950.0,6950.0,6950.0,0.08,40,278000,278000
7/4/2024,6900.0,7000.0,6900.0,6944.44,0.64,54,375000,375000
7/3/2024,6900.0,,,6900.0,0.0,0,0,0
7/2/2024,6900.0,,,6900.0,0.0,0,0,0
7/1/2024,6900.0,6900.0,6900.0,6900.0,2.22,10,69000,69000
6/28/2024,6750.0,6750.0,6750.0,6750.0,0.75,20,135000,135000
6/27/2024,6700.0,,,6700.0,0.0,0,0,0
6/26/2024,6700.0,6700.0,6700.0,6700.0,-1.47,6,40200,40200
6/25/2024,6800.0,,,6800.0,0.0,0,0,0
6/24/2024,6800.0,,,6800.0,0.0,0,0,0
6/20/2024,6800.0,,,6800.0,0.0,0,0,0
6/19/2024,6800.0,,,6800.0,0.0,0,0,0
6/18/2024,6800.0,,,6800.0,0.0,0,0,0
6/17/2024,6800.0,,,6800.0,0.0,0,0,0
6/14/2024,6800.0,,,6800.0,0.0,0,0,0
6/13/2024,6800.0,,,6800.0,0.0,0,0,0
6/12/2024,6800.0,6800.0,6800.0,6800.0,1.49,165,1122000,1122000
6/11/2024,6700.0,,,6700.0,0.0,0,0,0
6/10/2024,6700.0,6700.0,6700.0,6700.0,0.0,101,676700,676700
6/7/2024,6700.0,,,6700.0,0.0,0,0,0
6/6/2024,6700.0,6700.0,6700.0,6700.0,-0.74,40,268000,268000
6/5/2024,6750.0,6750.0,6750.0,6750.0,-1.15,45,303750,303750
6/4/2024,6800.0,,,6828.57,0.0,0,0,0
6/3/2024,6800.0,6850.0,6800.0,6828.57,-1.61,70,478000,478000
5/31/2024,6940.0,,,6940.0,0.0,0,0,0
5/30/2024,6940.0,6940.0,6940.0,6940.0,-0.86,25,173500,173500
5/29/2024,7000.0,,,7000.0,0.0,0,0,0
5/28/2024,7000.0,,,7000.0,0.0,0,0,0
5/27/2024,7000.0,,,7000.0,0.0,0,0,0
5/23/2024,7000.0,7000.0,7000.0,7000.0,2.16,2,14000,14000
5/22/2024,6850.0,,,6851.96,0.0,0,0,0
5/21/2024,6850.0,6950.0,6850.0,6851.96,-1.69,510,3494500,3494500
5/20/2024,6970.0,,,6970.0,0.0,0,0,0
5/17/2024,6970.0,,,6970.0,0.0,0,0,0
5/16/2024,6970.0,6970.0,6970.0,6970.0,-2.99,10,69700,69700
5/15/2024,7200.0,7200.0,7100.0,7184.62,0.34,325,2335000,2335000
5/14/2024,7160.0,7161.0,7160.0,7160.08,-1.24,100,716008,716008
5/13/2024,7250.0,,,7249.71,0.0,0,0,0
5/10/2024,7250.0,7250.0,7248.0,7249.71,0.5,244,1768930,1768930
5/9/2024,7245.0,7245.0,7200.0,7213.31,1.31,71,512145,512145
5/7/2024,7119.0,7120.0,7119.0,7119.71,-1.58,55,391584,391584
5/2/2024,7240.0,7240.0,7220.0,7234.29,0.36,119,860880,860880
4/30/2024,7220.0,7220.0,7200.0,7208.42,0.23,190,1369600,1369600
4/29/2024,7200.0,7220.0,7150.0,7191.58,-0.18,377,2711227,13515407
4/26/2024,7220.0,7220.0,7200.0,7204.9,0.07,102,734900,734900
4/25/2024,7200.0,7200.0,7200.0,7200.0,0.92,23,165600,165600
4/23/2024,7120.0,7143.0,7120.0,7134.5,-1.18,100,713450,713450
4/22/2024,7220.0,7220.0,7220.0,7220.0,1.53,20,144400,144400
4/19/2024,7111.0,7111.0,7111.0,7111.0,-1.1,10,71110,71110
4/18/2024,7190.0,7190.0,7190.0,7190.0,0.0,25,179750,179750
4/17/2024,7190.0,7190.0,7190.0,7190.0,0.0,21,150990,150990
4/16/2024,7190.0,7190.0,7190.0,7190.0,0.0,4,28760,28760
4/15/2024,7190.0,,,7190.0,0.0,0,0,0
4/12/2024,7190.0,,,7190.0,0.0,0,0,0
4/11/2024,7190.0,,,7190.0,0.0,0,0,0
4/9/2024,7190.0,7190.0,7190.0,7190.0,0.0,68,488920,488920
4/8/2024,7190.0,,,7190.0,0.0,0,0,0
4/5/2024,7190.0,7190.0,7190.0,7190.0,-0.14,12,86280,86280
4/4/2024,7200.0,,,7200.0,0.0,0,0,0
