Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"8.000,00",nan,nan,"8.000,00","0,00","0,00","0,00","0,00"
07.11.2024,"8.000,00","8.000,00","8.000,00","8.000,00","3,16","5,00","40.000,00","40.000,00"
06.11.2024,"7.710,00",nan,nan,"7.754,83","0,00","0,00","0,00","0,00"
05.11.2024,"7.710,00",nan,nan,"7.754,83","0,00","0,00","0,00","0,00"
04.11.2024,"7.710,00",nan,nan,"7.754,83","0,00","0,00","0,00","315.276.500,00"
01.11.2024,"7.710,00",nan,nan,"7.754,83","0,00","0,00","0,00","0,00"
31.10.2024,"7.710,00","7.760,00","7.710,00","7.754,83","-3,06","290,00","2.248.900,00","2.248.900,00"
30.10.2024,"8.000,00","8.000,00","8.000,00","8.000,00","2,59","14,00","112.000,00","564.161.710,00"
29.10.2024,"7.900,00",nan,nan,"7.797,96","0,00","0,00","0,00","0,00"
28.10.2024,"7.900,00",nan,nan,"7.797,96","0,00","0,00","0,00","0,00"
25.10.2024,"7.900,00","7.900,00","7.700,00","7.797,96","1,63","392,00","3.056.800,00","37.868.200,00"
24.10.2024,"7.800,00","7.800,00","7.650,00","7.673,19","-7,35","690,00","5.294.500,00","5.294.500,00"
22.10.2024,"7.720,00",nan,nan,"8.282,33","0,00","0,00","0,00","9.047.000,00"
21.10.2024,"7.720,00",nan,nan,"8.282,33","0,00","0,00","0,00","0,00"
18.10.2024,"7.720,00","8.500,00","7.720,00","8.282,33","-2,56","15.158,00","125.543.620,00","125.543.620,00"
17.10.2024,"8.500,00","8.500,00","8.500,00","8.500,00","-2,30","25,00","212.500,00","212.500,00"
16.10.2024,"8.700,00","8.700,00","8.700,00","8.700,00","0,00","17,00","147.900,00","147.900,00"
15.10.2024,"8.700,00","8.700,00","8.700,00","8.700,00","-3,33","3,00","26.100,00","26.100,00"
14.10.2024,"9.000,00","9.000,00","9.000,00","9.000,00","0,00","17,00","153.000,00","153.000,00"
10.10.2024,"9.000,00","9.000,00","9.000,00","9.000,00","1,15","36,00","324.000,00","6.784.000,00"
09.10.2024,"9.000,00","9.000,00","8.751,00","8.897,47","-1,37","34,00","302.514,00","302.514,00"
08.10.2024,"9.200,00","9.200,00","8.800,00","9.020,85","1,36","129,00","1.163.690,00","152.099.690,00"
07.10.2024,"8.900,00","8.900,00","8.900,00","8.900,00","-2,00","20,00","178.000,00","144.692.500,00"
04.10.2024,"9.100,00","9.100,00","8.610,00","9.081,30","4,81","562,00","5.103.690,00","33.756.990,00"
03.10.2024,"8.680,00","8.680,00","8.500,00","8.664,50","0,63","329,00","2.850.620,00","27.962.140,00"
02.10.2024,"8.610,00","8.610,00","8.610,00","8.610,00","1,27","45,00","387.450,00","4.467.450,00"
01.10.2024,"8.570,00","8.570,00","8.480,00","8.501,89","0,02","953,00","8.102.300,00","74.670.300,00"
30.09.2024,"8.500,00","8.500,00","8.499,00","8.499,94","2,12","722,00","6.136.955,00","48.290.655,00"
27.09.2024,"8.400,00","8.400,00","8.200,00","8.323,88","2,06","278,00","2.314.040,00","2.314.040,00"
26.09.2024,"8.103,00","8.343,00","8.100,00","8.156,06","0,69","193,00","1.574.119,00","1.574.119,00"
25.09.2024,"8.100,00",nan,nan,"8.100,00","0,00","0,00","0,00","5.248.800,00"
24.09.2024,"8.100,00","8.100,00","8.100,00","8.100,00","0,00","173,00","1.401.300,00","1.401.300,00"
23.09.2024,"8.100,00","8.100,00","8.100,00","8.100,00","0,62","156,00","1.263.600,00","84.407.600,00"
20.09.2024,"8.050,00","8.050,00","8.050,00","8.050,00","0,32","50,00","402.500,00","402.500,00"
19.09.2024,"8.050,00","8.050,00","7.800,00","8.024,22","0,02","424,00","3.402.270,00","3.402.270,00"
18.09.2024,"8.000,00",nan,nan,"8.022,87","0,00","0,00","0,00","0,00"
17.09.2024,"8.000,00",nan,nan,"8.022,87","0,00","0,00","0,00","0,00"
16.09.2024,"8.000,00",nan,nan,"8.022,87","0,00","0,00","0,00","0,00"
13.09.2024,"8.000,00","8.050,00","7.990,00","8.022,87","-0,34","52,00","417.189,00","417.189,00"
12.09.2024,"8.050,00",nan,nan,"8.050,00","0,00","0,00","0,00","0,00"
11.09.2024,"8.050,00",nan,nan,"8.050,00","0,00","0,00","0,00","0,00"
10.09.2024,"8.050,00",nan,nan,"8.050,00","0,00","0,00","0,00","0,00"
06.09.2024,"8.050,00","8.050,00","8.050,00","8.050,00","1,90","361,00","2.906.050,00","2.906.050,00"
05.09.2024,"7.900,00","7.900,00","7.900,00","7.900,00","2,49","22,00","173.800,00","173.800,00"
04.09.2024,"7.700,00",nan,nan,"7.707,74","0,00","0,00","0,00","2.955.000,00"
03.09.2024,"7.700,00",nan,nan,"7.707,74","0,00","0,00","0,00","0,00"
02.09.2024,"7.700,00",nan,nan,"7.707,74","0,00","0,00","0,00","0,00"
30.08.2024,"7.700,00",nan,nan,"7.707,74","0,00","0,00","0,00","0,00"
29.08.2024,"7.700,00",nan,nan,"7.707,74","0,00","0,00","0,00","0,00"
27.08.2024,"7.700,00","7.813,00","7.700,00","7.707,74","-1,35","73,00","562.665,00","562.665,00"
26.08.2024,"7.750,00","7.830,00","7.750,00","7.813,16","2,38","190,00","1.484.500,00","1.484.500,00"
23.08.2024,"7.725,00","7.725,00","7.503,00","7.631,23","1,75","1.419,00","10.828.720,00","13.101.220,00"
22.08.2024,"7.500,00",nan,nan,"7.500,00","0,00","0,00","0,00","2.325.000,00"
21.08.2024,"7.500,00",nan,nan,"7.500,00","0,00","0,00","0,00","0,00"
20.08.2024,"7.500,00",nan,nan,"7.500,00","0,00","0,00","0,00","0,00"
19.08.2024,"7.500,00",nan,nan,"7.500,00","0,00","0,00","0,00","0,00"
16.08.2024,"7.500,00",nan,nan,"7.500,00","0,00","0,00","0,00","0,00"
15.08.2024,"7.500,00",nan,nan,"7.500,00","0,00","0,00","0,00","10.500.000,00"
14.08.2024,"7.500,00",nan,nan,"7.500,00","0,00","0,00","0,00","0,00"
13.08.2024,"7.500,00","7.500,00","7.500,00","7.500,00","0,00","150,00","1.125.000,00","1.125.000,00"
12.08.2024,"7.500,00",nan,nan,"7.500,00","0,00","0,00","0,00","0,00"
09.08.2024,"7.500,00",nan,nan,"7.500,00","0,00","0,00","0,00","0,00"
08.08.2024,"7.500,00",nan,nan,"7.500,00","0,00","0,00","0,00","0,00"
07.08.2024,"7.500,00","7.500,00","7.500,00","7.500,00","-0,92","38,00","285.000,00","285.000,00"
06.08.2024,"7.570,00",nan,nan,"7.570,00","0,00","0,00","0,00","0,00"
05.08.2024,"7.570,00","7.570,00","7.570,00","7.570,00","2,99","430,00","3.255.100,00","3.255.100,00"
01.08.2024,"7.350,00",nan,nan,"7.350,00","0,00","0,00","0,00","0,00"
31.07.2024,"7.350,00","7.350,00","7.350,00","7.350,00","0,00","80,00","588.000,00","588.000,00"
