Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
07.11.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
06.11.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
05.11.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
04.11.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
01.11.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
31.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
30.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
29.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
28.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
25.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
24.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","133,00","787.227,00","787.227,00"
22.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","132,00","781.308,00","781.308,00"
21.10.2024,"5.919,00","5.920,00","5.919,00","5.919,22","0,00","276,00","1.633.704,00","1.633.704,00"
18.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","109,00","645.171,00","645.171,00"
17.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,04","132,00","781.308,00","781.308,00"
16.10.2024,"5.919,00","5.919,00","5.850,00","5.916,49","-0,04","3.208,00","18.980.097,00","18.980.097,00"
15.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
14.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
10.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
09.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
08.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
07.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
04.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
03.10.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
02.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","192,00","1.136.448,00","1.136.448,00"
01.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,01","454,00","2.687.226,00","2.687.226,00"
30.09.2024,"5.919,00","5.919,00","5.910,00","5.918,65","0,12","1.422,00","8.416.324,00","8.416.324,00"
27.09.2024,"5.919,00",nan,nan,"5.911,35","0,00","0,00","0,00","0,00"
26.09.2024,"5.919,00",nan,nan,"5.911,35","0,00","0,00","0,00","0,00"
25.09.2024,"5.919,00","5.919,00","5.750,00","5.911,35","2,81","2.070,00","12.236.487,00","12.236.487,00"
24.09.2024,"5.750,00","5.750,00","5.750,00","5.750,00","-2,85","20,00","115.000,00","115.000,00"
23.09.2024,"5.919,00",nan,nan,"5.918,95","0,00","0,00","0,00","0,00"
20.09.2024,"5.919,00","5.919,00","5.918,00","5.918,95","0,90","4.032,00","23.865.195,00","23.865.195,00"
19.09.2024,"5.866,00","5.866,00","5.866,00","5.866,00","9,99","33,00","193.578,00","193.578,00"
18.09.2024,"5.333,00","5.333,00","5.333,00","5.333,00","-9,90","5,00","26.665,00","26.665,00"
17.09.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
16.09.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
13.09.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
12.09.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
11.09.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
10.09.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
06.09.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","144,00","852.336,00","852.336,00"
05.09.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","10,00","59.190,00","59.190,00"
04.09.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","15,00","88.785,00","88.785,00"
03.09.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","111,00","657.009,00","657.009,00"
02.09.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","35,00","207.165,00","207.165,00"
30.08.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","120,00","710.280,00","710.280,00"
29.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
27.08.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","595,00","3.521.805,00","3.521.805,00"
26.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
23.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
22.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
21.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
20.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
19.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
16.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
15.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
14.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
13.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
12.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
09.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
08.08.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","1.035,00","6.126.165,00","6.126.165,00"
07.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
06.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
05.08.2024,"5.919,00",nan,nan,"5.919,00","0,00","0,00","0,00","0,00"
01.08.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","234,00","1.385.046,00","1.385.046,00"
31.07.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","514,00","3.042.366,00","3.042.366,00"
30.07.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00","108,00","639.252,00","639.252,00"
