Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"15.096,00","15.096,00","15.096,00","15.096,00","-0,01","9,00","135.864,00","135.864,00"
07.11.2024,"15.098,00","15.098,00","15.098,00","15.098,00","-0,01","17,00","256.666,00","256.666,00"
06.11.2024,"15.100,00",nan,nan,"15.100,00","0,00","0,00","0,00","0,00"
05.11.2024,"15.100,00","15.100,00","15.100,00","15.100,00","0,00","11,00","166.100,00","166.100,00"
04.11.2024,"15.100,00","15.100,00","15.100,00","15.100,00","2,03","2,00","30.200,00","30.200,00"
01.11.2024,"14.800,00","14.800,00","14.800,00","14.800,00","0,68","12,00","177.600,00","177.600,00"
31.10.2024,"14.700,00","14.700,00","14.700,00","14.700,00","0,00","21,00","308.700,00","308.700,00"
30.10.2024,"14.700,00","14.701,00","14.700,00","14.700,65","0,00","31,00","455.720,00","455.720,00"
29.10.2024,"14.700,00",nan,nan,"14.700,00","0,00","0,00","0,00","0,00"
28.10.2024,"14.700,00","14.700,00","14.700,00","14.700,00","0,28","34,00","499.800,00","499.800,00"
25.10.2024,"14.700,00","14.700,00","14.601,00","14.659,28","-0,28","141,00","2.066.958,00","2.066.958,00"
24.10.2024,"14.700,00","14.700,00","14.700,00","14.700,00","1,38","40,00","588.000,00","588.000,00"
22.10.2024,"14.500,00",nan,nan,"14.500,00","0,00","0,00","0,00","0,00"
21.10.2024,"14.500,00","14.500,00","14.500,00","14.500,00","-1,49","1,00","14.500,00","14.500,00"
18.10.2024,"14.700,00",nan,nan,"14.720,00","0,00","0,00","0,00","0,00"
17.10.2024,"14.700,00","14.800,00","14.700,00","14.720,00","-0,20","5,00","73.600,00","73.600,00"
16.10.2024,"14.700,00","14.790,00","14.700,00","14.748,89","-0,28","18,00","265.480,00","265.480,00"
15.10.2024,"14.790,00","14.790,00","14.790,00","14.790,00","1,69","3,00","44.370,00","44.370,00"
14.10.2024,"14.500,00","14.800,00","14.500,00","14.544,08","-1,73","168,00","2.443.405,00","2.443.405,00"
10.10.2024,"14.800,00","14.800,00","14.800,00","14.800,00","0,00","3,00","44.400,00","44.400,00"
09.10.2024,"14.800,00","14.800,00","14.800,00","14.800,00","-0,20","3,00","44.400,00","44.400,00"
08.10.2024,"14.800,00","14.979,00","14.800,00","14.829,83","-1,06","12,00","177.958,00","177.958,00"
07.10.2024,"14.989,00","14.989,00","14.987,00","14.988,49","1,27","47,00","704.459,00","704.459,00"
04.10.2024,"14.800,00","14.800,00","14.800,00","14.800,00","-0,33","3,00","44.400,00","44.400,00"
03.10.2024,"14.849,00","14.849,00","14.849,00","14.849,00","-0,01","10,00","148.490,00","148.490,00"
02.10.2024,"14.850,00","14.850,00","14.850,00","14.850,00","-0,98","13,00","193.050,00","193.050,00"
01.10.2024,"14.997,00","14.997,00","14.997,00","14.997,00","0,02","6,00","89.982,00","89.982,00"
30.09.2024,"14.994,00","14.994,00","14.994,00","14.994,00","-0,02","6,00","89.964,00","89.964,00"
27.09.2024,"14.997,00","14.998,00","14.997,00","14.997,12","0,00","16,00","239.954,00","239.954,00"
26.09.2024,"14.999,00","14.999,00","14.997,00","14.997,50","1,97","20,00","299.950,00","299.950,00"
25.09.2024,"14.700,00","14.850,00","14.700,00","14.707,86","-0,96","42,00","617.730,00","617.730,00"
24.09.2024,"14.850,00","14.850,00","14.850,00","14.850,00","-0,14","5,00","74.250,00","74.250,00"
23.09.2024,"14.800,00","15.000,00","14.800,00","14.870,97","-0,46","31,00","461.000,00","461.000,00"
20.09.2024,"14.900,00",nan,nan,"14.939,50","0,00","0,00","0,00","0,00"
19.09.2024,"14.900,00",nan,nan,"14.939,50","0,00","0,00","0,00","0,00"
18.09.2024,"14.900,00",nan,nan,"14.939,50","0,00","0,00","0,00","0,00"
17.09.2024,"14.900,00","14.979,00","14.900,00","14.939,50","-0,25","20,00","298.790,00","298.790,00"
16.09.2024,"14.976,00","14.980,00","14.975,00","14.976,85","0,03","20,00","299.537,00","5.311.537,00"
13.09.2024,"14.900,00","14.998,00","14.900,00","14.972,88","-0,18","50,00","748.644,00","748.644,00"
12.09.2024,"14.999,00","15.000,00","14.999,00","14.999,80","0,01","25,00","374.995,00","374.995,00"
11.09.2024,"14.999,00",nan,nan,"14.999,00","0,00","0,00","0,00","0,00"
10.09.2024,"14.999,00","14.999,00","14.999,00","14.999,00","-0,01","1,00","14.999,00","14.999,00"
06.09.2024,"15.000,00","15.000,00","15.000,00","15.000,00","-2,24","47,00","705.000,00","705.000,00"
05.09.2024,"15.344,00","15.344,00","15.344,00","15.344,00","2,43","1,00","15.344,00","15.344,00"
04.09.2024,"14.900,00",nan,nan,"14.979,47","0,00","0,00","0,00","0,00"
03.09.2024,"14.900,00",nan,nan,"14.979,47","0,00","0,00","0,00","0,00"
02.09.2024,"14.900,00",nan,nan,"14.979,47","0,00","0,00","0,00","0,00"
30.08.2024,"14.900,00","15.000,00","14.900,00","14.979,47","-0,35","187,00","2.801.161,00","2.801.161,00"
29.08.2024,"15.000,00","15.347,00","15.000,00","15.031,55","0,88","11,00","165.347,00","165.347,00"
27.08.2024,"14.900,00","14.900,00","14.900,00","14.900,00","1,31","50,00","745.000,00","745.000,00"
26.08.2024,"14.700,00",nan,nan,"14.707,32","0,00","0,00","0,00","0,00"
23.08.2024,"14.700,00","15.000,00","14.700,00","14.707,32","-1,88","41,00","603.000,00","603.000,00"
22.08.2024,"14.989,00","14.989,00","14.989,00","14.989,00","0,01","4,00","59.956,00","3.019.956,00"
21.08.2024,"14.989,00","14.990,00","14.987,00","14.987,47","0,00","32,00","479.599,00","479.599,00"
20.08.2024,"14.987,00",nan,nan,"14.987,00","0,00","0,00","0,00","0,00"
19.08.2024,"14.987,00","14.987,00","14.987,00","14.987,00","-0,08","36,00","539.532,00","539.532,00"
16.08.2024,"14.999,00","14.999,00","14.999,00","14.999,00","0,00","30,00","449.970,00","449.970,00"
15.08.2024,"14.999,00","14.999,00","14.999,00","14.999,00","0,13","5,00","74.995,00","74.995,00"
14.08.2024,"14.979,00","14.979,00","14.979,00","14.979,00","3,00","5,00","74.895,00","74.895,00"
13.08.2024,"14.500,00","14.600,00","14.500,00","14.543,27","0,07","104,00","1.512.500,00","1.512.500,00"
12.08.2024,"14.500,00","14.900,00","14.500,00","14.533,33","0,23","36,00","523.200,00","523.200,00"
09.08.2024,"14.500,00","14.500,00","14.499,00","14.499,89","-2,51","56,00","811.994,00","811.994,00"
08.08.2024,"14.873,00","14.874,00","14.872,00","14.873,49","-0,01","175,00","2.602.861,00","2.602.861,00"
07.08.2024,"14.875,00","14.875,00","14.875,00","14.875,00","-0,50","11,00","163.625,00","163.625,00"
06.08.2024,"14.949,00","14.949,00","14.949,00","14.949,00","4,64","1,00","14.949,00","14.949,00"
05.08.2024,"14.990,00",nan,nan,"14.286,50","0,00","0,00","0,00","0,00"
01.08.2024,"14.990,00",nan,nan,"14.286,50","0,00","0,00","0,00","0,00"
31.07.2024,"14.990,00","14.990,00","14.186,00","14.286,50","-2,31","8,00","114.292,00","114.292,00"
30.07.2024,"14.550,00","14.998,00","14.550,00","14.624,67","-2,50","6,00","87.748,00","87.748,00"
29.07.2024,"15.000,00","15.000,00","15.000,00","15.000,00","5,57","1,00","15.000,00","15.000,00"
26.07.2024,"14.200,00","14.219,00","14.200,00","14.208,12","-3,06","128,00","1.818.640,00","1.818.640,00"
25.07.2024,"14.600,00","14.751,00","14.600,00","14.656,97","-9,64","66,00","967.360,00","967.360,00"
24.07.2024,"15.649,00","16.590,00","15.649,00","16.221,47","-6,70","53,00","859.738,00","859.738,00"
23.07.2024,"17.050,00","17.601,00","17.050,00","17.386,69","-1,07","75,00","1.304.002,00","1.304.002,00"
22.07.2024,"16.996,00","18.998,00","16.501,00","17.574,66","0,53","659,00","11.581.700,00","11.581.700,00"
19.07.2024,"17.482,00","17.483,00","17.480,00","17.482,58","10,00","752,00","13.146.901,00","13.146.901,00"
18.07.2024,"16.348,00","16.348,00","15.199,00","15.893,77","6,94","695,00","11.046.173,00","11.046.173,00"
17.07.2024,"15.200,00","15.200,00","14.830,00","14.862,45","2,50","428,00","6.361.127,00","6.361.127,00"
16.07.2024,"14.500,00","14.500,00","14.200,00","14.499,59","6,21","1.075,00","15.587.058,00","15.587.058,00"
15.07.2024,"13.750,00","13.750,00","12.875,00","13.651,66","9,21","313,00","4.272.970,00","4.272.970,00"
12.07.2024,"125.000,00",nan,nan,"125.000,80","0,00","0,00","0,00","0,00"
11.07.2024,"125.000,00","125.001,00","125.000,00","125.000,80","4,60","5,00","625.004,00","625.004,00"
10.07.2024,"119.500,00",nan,nan,"119.502,40","0,00","0,00","0,00","0,00"
09.07.2024,"119.500,00","119.550,00","119.499,00","119.502,40","-0,02","96,00","11.472.230,00","11.472.230,00"
08.07.2024,"119.500,00","119.597,00","119.500,00","119.527,71","-0,10","7,00","836.694,00","836.694,00"
05.07.2024,"119.650,00","119.660,00","119.650,00","119.652,50","2,71","4,00","478.610,00","478.610,00"
04.07.2024,"116.500,00","116.500,00","116.500,00","116.500,00","0,43","18,00","2.097.000,00","2.097.000,00"
03.07.2024,"115.999,00","115.999,00","115.999,00","115.999,00","0,24","2,00","231.998,00","231.998,00"
02.07.2024,"115.999,00","115.999,00","115.500,00","115.721,78","-0,24","9,00","1.041.496,00","1.041.496,00"
01.07.2024,"116.000,00","116.000,00","116.000,00","116.000,00","0,00","10,00","1.160.000,00","1.160.000,00"
28.06.2024,"116.000,00","116.000,00","116.000,00","116.000,00","-0,43","9,00","1.044.000,00","1.044.000,00"
27.06.2024,"116.500,00","116.500,00","116.500,00","116.500,00","0,32","18,00","2.097.000,00","2.097.000,00"
