Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"3.300,00",nan,nan,"3.300,00","0,00","0,00","0,00","0,00"
07.11.2024,"3.300,00",nan,nan,"3.300,00","0,00","0,00","0,00","0,00"
06.11.2024,"3.300,00",nan,nan,"3.300,00","0,00","0,00","0,00","0,00"
05.11.2024,"3.300,00",nan,nan,"3.300,00","0,00","0,00","0,00","0,00"
04.11.2024,"3.300,00",nan,nan,"3.300,00","0,00","0,00","0,00","0,00"
01.11.2024,"3.300,00",nan,nan,"3.300,00","0,00","0,00","0,00","0,00"
31.10.2024,"3.300,00","3.300,00","3.300,00","3.300,00","1,51","836,00","2.758.800,00","2.758.800,00"
30.10.2024,"3.300,00",nan,nan,"3.251,03","0,00","0,00","0,00","0,00"
29.10.2024,"3.300,00",nan,nan,"3.251,03","0,00","0,00","0,00","0,00"
28.10.2024,"3.300,00","3.300,00","3.250,00","3.251,03","1,59","242,00","786.750,00","41.300.850,00"
25.10.2024,"3.200,00",nan,nan,"3.200,00","0,00","0,00","0,00","0,00"
24.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","150,00","480.000,00","480.000,00"
22.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","90,00","288.000,00","288.000,00"
21.10.2024,"3.200,00",nan,nan,"3.200,00","0,00","0,00","0,00","0,00"
18.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","111,00","355.200,00","355.200,00"
17.10.2024,"3.200,00",nan,nan,"3.200,00","0,00","0,00","0,00","0,00"
16.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","504,00","1.612.800,00","1.612.800,00"
15.10.2024,"3.200,00",nan,nan,"3.200,00","0,00","0,00","0,00","48.136.760,00"
14.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","-1,52","540,00","1.728.000,00","1.728.000,00"
10.10.2024,"3.250,00","3.250,00","3.220,00","3.249,45","1,52","219,00","711.630,00","29.895.930,00"
09.10.2024,"3.201,00","3.201,00","3.200,00","3.200,78","0,02","654,00","2.093.308,00","2.093.308,00"
08.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","156,00","499.200,00","499.200,00"
07.10.2024,"3.199,00","3.200,00","3.199,00","3.199,87","0,00","1.145,00","3.663.847,00","3.663.847,00"
04.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","9.408,00","30.105.600,00","30.105.600,00"
03.10.2024,"3.200,00",nan,nan,"3.200,00","0,00","0,00","0,00","0,00"
02.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","352,00","1.126.400,00","1.126.400,00"
01.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","100,00","320.000,00","320.000,00"
30.09.2024,"3.220,00",nan,nan,"3.200,05","0,00","0,00","0,00","0,00"
27.09.2024,"3.220,00",nan,nan,"3.200,05","0,00","0,00","0,00","0,00"
26.09.2024,"3.220,00",nan,nan,"3.200,05","0,00","0,00","0,00","0,00"
25.09.2024,"3.220,00",nan,nan,"3.200,05","0,00","0,00","0,00","0,00"
24.09.2024,"3.220,00",nan,nan,"3.200,05","0,00","0,00","0,00","0,00"
23.09.2024,"3.220,00","3.220,00","3.200,00","3.200,05","-0,93","432,00","1.382.420,00","1.382.420,00"
20.09.2024,"3.230,00","3.230,00","3.230,00","3.230,00","-0,57","70,00","226.100,00","226.100,00"
19.09.2024,"3.250,00","3.250,00","3.200,00","3.248,61","1,49","3.614,00","11.740.480,00","16.862.480,00"
18.09.2024,"3.201,00","3.201,00","3.200,00","3.200,83","0,03","90,00","288.075,00","288.075,00"
17.09.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","15,00","48.000,00","48.000,00"
16.09.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","1.167,00","3.734.400,00","9.294.752,00"
13.09.2024,"3.200,00","3.201,00","3.200,00","3.200,05","0,00","1.344,00","4.300.862,00","4.300.862,00"
12.09.2024,"3.200,00","3.200,00","3.199,00","3.199,97","6,12","3.839,00","12.284.683,00","12.284.683,00"
11.09.2024,"3.015,00","3.016,00","3.015,00","3.015,55","0,02","40,00","120.622,00","120.622,00"
10.09.2024,"3.015,00","3.015,00","3.015,00","3.015,00","-7,55","17,00","51.255,00","51.255,00"
06.09.2024,"3.250,00",nan,nan,"3.261,05","0,00","0,00","0,00","0,00"
05.09.2024,"3.250,00",nan,nan,"3.261,05","0,00","0,00","0,00","0,00"
04.09.2024,"3.250,00",nan,nan,"3.261,05","0,00","0,00","0,00","0,00"
03.09.2024,"3.250,00",nan,nan,"3.261,05","0,00","0,00","0,00","3.200.000,00"
02.09.2024,"3.250,00",nan,nan,"3.261,05","0,00","0,00","0,00","0,00"
30.08.2024,"3.250,00",nan,nan,"3.261,05","0,00","0,00","0,00","0,00"
29.08.2024,"3.250,00","3.270,00","3.250,00","3.261,05","0,52","324,00","1.056.580,00","1.056.580,00"
27.08.2024,"3.275,00","3.298,00","3.199,00","3.244,20","1,30","3.016,00","9.784.516,00","9.784.516,00"
26.08.2024,"3.210,00",nan,nan,"3.202,64","0,00","0,00","0,00","0,00"
23.08.2024,"3.210,00","3.210,00","3.150,00","3.202,64","0,08","1.849,00","5.921.677,00","5.921.677,00"
22.08.2024,"3.200,00",nan,nan,"3.200,00","0,00","0,00","0,00","0,00"
21.08.2024,"3.200,00",nan,nan,"3.200,00","0,00","0,00","0,00","0,00"
20.08.2024,"3.200,00",nan,nan,"3.200,00","0,00","0,00","0,00","0,00"
19.08.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,31","51,00","163.200,00","163.200,00"
16.08.2024,"3.190,00","3.190,00","3.190,00","3.190,00","-4,77","30,00","95.700,00","95.700,00"
15.08.2024,"3.341,00",nan,nan,"3.349,73","0,00","0,00","0,00","0,00"
14.08.2024,"3.341,00","3.350,00","3.341,00","3.349,73","-9,76","134,00","448.864,00","448.864,00"
13.08.2024,"3.700,00",nan,nan,"3.712,20","0,00","0,00","0,00","0,00"
12.08.2024,"3.700,00",nan,nan,"3.712,20","0,00","0,00","0,00","0,00"
09.08.2024,"3.700,00",nan,nan,"3.712,20","0,00","0,00","0,00","0,00"
08.08.2024,"3.700,00","4.000,00","3.699,00","3.712,20","0,35","660,00","2.450.052,00","2.450.052,00"
07.08.2024,"3.700,00","3.700,00","3.697,00","3.699,12","9,02","89,00","329.222,00","329.222,00"
06.08.2024,"3.393,00","3.393,00","3.393,00","3.393,00","1,28","65,00","220.545,00","220.545,00"
05.08.2024,"3.350,00","3.350,00","3.350,00","3.350,00","1,69","4,00","13.400,00","13.400,00"
01.08.2024,"3.300,00","3.300,00","3.290,00","3.294,26","6,94","47,00","154.830,00","154.830,00"
31.07.2024,"3.010,00","3.100,00","3.010,00","3.080,43","-0,63","128,00","394.295,00","394.295,00"
30.07.2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00","10,00","31.000,00","31.000,00"
29.07.2024,"3.100,00",nan,nan,"3.100,00","0,00","0,00","0,00","0,00"
26.07.2024,"3.100,00",nan,nan,"3.100,00","0,00","0,00","0,00","0,00"
25.07.2024,"3.100,00",nan,nan,"3.100,00","0,00","0,00","0,00","0,00"
24.07.2024,"3.100,00",nan,nan,"3.100,00","0,00","0,00","0,00","0,00"
23.07.2024,"3.100,00",nan,nan,"3.100,00","0,00","0,00","0,00","0,00"
22.07.2024,"3.100,00",nan,nan,"3.100,00","0,00","0,00","0,00","0,00"
19.07.2024,"3.100,00",nan,nan,"3.100,00","0,00","0,00","0,00","0,00"
18.07.2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00","5,00","15.500,00","15.500,00"
17.07.2024,"3.100,00",nan,nan,"3.100,00","0,00","0,00","0,00","0,00"
16.07.2024,"3.100,00",nan,nan,"3.100,00","0,00","0,00","0,00","0,00"
15.07.2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00","117,00","362.700,00","362.700,00"
