Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"410,00","410,00","407,00","408,47","-0,44","1.146,00","468.110,00","468.110,00"
07.11.2024,"410,00","411,00","410,00","410,29","-1,13","700,00","287.200,00","287.200,00"
06.11.2024,"415,00","415,00","415,00","415,00","-0,72","504,00","209.160,00","209.160,00"
05.11.2024,"418,00","418,00","418,00","418,00","-0,48","13,00","5.434,00","5.434,00"
04.11.2024,"420,00",nan,nan,"420,00","0,00","0,00","0,00","0,00"
01.11.2024,"420,00","420,00","420,00","420,00","2,42","164,00","68.880,00","68.880,00"
31.10.2024,"410,00","420,00","410,00","410,07","-1,43","1.452,00","595.420,00","595.420,00"
30.10.2024,"417,00","420,00","415,00","416,02","-2,57","5.064,00","2.106.748,00","2.106.748,00"
29.10.2024,"427,00",nan,nan,"427,00","0,00","0,00","0,00","0,00"
28.10.2024,"427,00","427,00","427,00","427,00","2,15","15,00","6.405,00","6.405,00"
25.10.2024,"418,00","418,00","418,00","418,00","-2,56","412,00","172.216,00","172.216,00"
24.10.2024,"429,00","429,00","429,00","429,00","-0,23","135,00","57.915,00","57.915,00"
22.10.2024,"430,00",nan,nan,"430,00","0,00","0,00","0,00","0,00"
21.10.2024,"430,00",nan,nan,"430,00","0,00","0,00","0,00","0,00"
18.10.2024,"430,00","430,00","430,00","430,00","2,04","38,00","16.340,00","16.340,00"
17.10.2024,"415,00",nan,nan,"421,42","0,00","0,00","0,00","0,00"
16.10.2024,"415,00","436,00","415,00","421,42","-3,57","288,00","121.368,00","121.368,00"
15.10.2024,"437,00",nan,nan,"437,00","0,00","0,00","0,00","0,00"
14.10.2024,"437,00",nan,nan,"437,00","0,00","0,00","0,00","0,00"
10.10.2024,"437,00","437,00","437,00","437,00","0,00","50,00","21.850,00","21.850,00"
09.10.2024,"437,00",nan,nan,"437,00","0,00","0,00","0,00","0,00"
08.10.2024,"437,00","437,00","437,00","437,00","7,90","100,00","43.700,00","43.700,00"
07.10.2024,"405,00","405,00","405,00","405,00","0,29","200,00","81.000,00","81.000,00"
04.10.2024,"400,00","415,00","400,00","403,83","-1,50","600,00","242.300,00","242.300,00"
03.10.2024,"410,00","410,00","410,00","410,00","-1,20","200,00","82.000,00","82.000,00"
02.10.2024,"415,00","415,00","415,00","415,00","1,11","1.435,00","595.525,00","595.525,00"
01.10.2024,"410,00","415,00","410,00","410,45","0,14","220,00","90.300,00","90.300,00"
30.09.2024,"415,00",nan,nan,"409,86","0,00","0,00","0,00","0,00"
27.09.2024,"415,00","415,00","409,00","409,86","1,20","350,00","143.450,00","143.450,00"
26.09.2024,"405,00","405,00","405,00","405,00","1,17","140,00","56.700,00","56.700,00"
25.09.2024,"400,00",nan,nan,"400,33","0,00","0,00","0,00","0,00"
24.09.2024,"400,00","405,00","400,00","400,33","-2,36","750,00","300.250,00","300.250,00"
23.09.2024,"410,00","410,00","410,00","410,00","0,00","100,00","41.000,00","41.000,00"
20.09.2024,"410,00",nan,nan,"410,00","0,00","0,00","0,00","0,00"
19.09.2024,"410,00","410,00","410,00","410,00","0,00","234,00","95.940,00","95.940,00"
18.09.2024,"410,00","410,00","410,00","410,00","1,23","88,00","36.080,00","36.080,00"
17.09.2024,"405,00","405,00","405,00","405,00","-0,31","1.904,00","771.120,00","771.120,00"
16.09.2024,"405,00","410,00","405,00","406,25","-0,59","751,00","305.095,00","305.095,00"
13.09.2024,"408,00","415,00","407,00","408,65","0,19","2.983,00","1.219.005,00","1.219.005,00"
12.09.2024,"410,00",nan,nan,"407,86","0,00","0,00","0,00","0,00"
11.09.2024,"410,00","410,00","405,00","407,86","0,49","700,00","285.500,00","285.500,00"
10.09.2024,"405,00",nan,nan,"405,87","0,00","0,00","0,00","0,00"
06.09.2024,"405,00","407,00","405,00","405,87","-0,33","707,00","286.949,00","286.949,00"
05.09.2024,"412,00",nan,nan,"407,20","0,00","0,00","0,00","0,00"
04.09.2024,"412,00",nan,nan,"407,20","0,00","0,00","0,00","0,00"
03.09.2024,"412,00","412,00","407,00","407,20","-0,29","1.220,00","496.790,00","496.790,00"
02.09.2024,"408,00","409,00","408,00","408,40","-0,40","500,00","204.200,00","204.200,00"
30.08.2024,"410,00","414,00","410,00","410,06","-0,04","316,00","129.580,00","129.580,00"
29.08.2024,"410,00","414,00","410,00","410,24","-0,15","616,00","252.710,00","252.710,00"
27.08.2024,"410,00","414,00","410,00","410,86","0,21","1.400,00","575.200,00","575.200,00"
26.08.2024,"410,00","410,00","410,00","410,00","-0,01","694,00","284.540,00","284.540,00"
23.08.2024,"410,00","414,00","410,00","410,05","-0,25","1.108,00","454.332,00","454.332,00"
