Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
08.11.2024,"7.200,00",nan,nan,"7.200,00","0,00","0,00","0,00","0,00"
07.11.2024,"7.200,00",nan,nan,"7.200,00","0,00","0,00","0,00","0,00"
06.11.2024,"7.200,00",nan,nan,"7.200,00","0,00","0,00","0,00","0,00"
05.11.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,88","10,00","72.000,00","72.000,00"
04.11.2024,"7.285,00","7.285,00","7.100,00","7.137,00","-2,02","10,00","71.370,00","71.370,00"
01.11.2024,"7.284,00","7.284,00","7.284,00","7.284,00","2,59","7,00","50.988,00","50.988,00"
31.10.2024,"7.100,00",nan,nan,"7.100,00","0,00","0,00","0,00","0,00"
30.10.2024,"7.100,00",nan,nan,"7.100,00","0,00","0,00","0,00","0,00"
29.10.2024,"7.100,00",nan,nan,"7.100,00","0,00","0,00","0,00","0,00"
28.10.2024,"7.100,00",nan,nan,"7.100,00","0,00","0,00","0,00","0,00"
25.10.2024,"7.100,00",nan,nan,"7.100,00","0,00","0,00","0,00","0,00"
24.10.2024,"7.100,00",nan,nan,"7.100,00","0,00","0,00","0,00","0,00"
22.10.2024,"7.100,00",nan,nan,"7.100,00","0,00","0,00","0,00","0,00"
21.10.2024,"7.100,00","7.100,00","7.100,00","7.100,00","-1,39","20,00","142.000,00","142.000,00"
18.10.2024,"7.200,00",nan,nan,"7.200,00","0,00","0,00","0,00","0,00"
17.10.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00","11,00","79.200,00","79.200,00"
16.10.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00","130,00","936.000,00","936.000,00"
15.10.2024,"7.200,00","7.200,00","7.200,00","7.200,00","-1,22","685,00","4.932.000,00","4.932.000,00"
14.10.2024,"7.289,00",nan,nan,"7.289,00","0,00","0,00","0,00","0,00"
10.10.2024,"7.289,00",nan,nan,"7.289,00","0,00","0,00","0,00","0,00"
09.10.2024,"7.289,00",nan,nan,"7.289,00","0,00","0,00","0,00","0,00"
08.10.2024,"7.289,00",nan,nan,"7.289,00","0,00","0,00","0,00","0,00"
07.10.2024,"7.289,00",nan,nan,"7.289,00","0,00","0,00","0,00","0,00"
04.10.2024,"7.289,00",nan,nan,"7.289,00","0,00","0,00","0,00","0,00"
03.10.2024,"7.289,00",nan,nan,"7.289,00","0,00","0,00","0,00","0,00"
02.10.2024,"7.289,00",nan,nan,"7.289,00","0,00","0,00","0,00","0,00"
01.10.2024,"7.289,00","7.289,00","7.289,00","7.289,00","1,96","10,00","72.890,00","72.890,00"
30.09.2024,"7.150,00","7.150,00","7.149,00","7.149,13","-0,71","287,00","2.051.800,00","2.051.800,00"
27.09.2024,"7.200,00",nan,nan,"7.200,00","0,00","0,00","0,00","0,00"
26.09.2024,"7.200,00","7.200,00","7.200,00","7.200,00","2,86","10,00","72.000,00","72.000,00"
25.09.2024,"7.000,00","7.000,00","7.000,00","7.000,00","-0,30","53,00","371.000,00","371.000,00"
24.09.2024,"7.000,00","7.030,00","7.000,00","7.020,91","-1,81","33,00","231.690,00","231.690,00"
23.09.2024,"7.150,00",nan,nan,"7.150,00","0,00","0,00","0,00","0,00"
20.09.2024,"7.150,00",nan,nan,"7.150,00","0,00","0,00","0,00","0,00"
19.09.2024,"7.150,00","7.150,00","7.150,00","7.150,00","1,71","500,00","3.575.000,00","3.575.000,00"
18.09.2024,"7.030,00","7.030,00","7.030,00","7.030,00","0,12","36,00","253.080,00","253.080,00"
17.09.2024,"7.050,00",nan,nan,"7.021,43","0,00","0,00","0,00","0,00"
16.09.2024,"7.050,00","7.050,00","7.000,00","7.021,43","0,18","35,00","245.750,00","245.750,00"
13.09.2024,"7.000,00","7.149,00","7.000,00","7.008,47","0,46","174,00","1.219.473,00","1.219.473,00"
12.09.2024,"7.000,00","7.000,00","6.970,00","6.976,38","0,09","127,00","886.000,00","886.000,00"
11.09.2024,"6.970,00","6.970,00","6.970,00","6.970,00","-0,14","50,00","348.500,00","348.500,00"
10.09.2024,"6.980,00",nan,nan,"6.980,00","0,00","0,00","0,00","0,00"
06.09.2024,"6.980,00","6.980,00","6.980,00","6.980,00","-0,03","80,00","558.400,00","558.400,00"
05.09.2024,"7.000,00",nan,nan,"6.982,35","0,00","0,00","0,00","0,00"
04.09.2024,"7.000,00",nan,nan,"6.982,35","0,00","0,00","0,00","0,00"
03.09.2024,"7.000,00",nan,nan,"6.982,35","0,00","0,00","0,00","0,00"
02.09.2024,"7.000,00",nan,nan,"6.982,35","0,00","0,00","0,00","0,00"
30.08.2024,"7.000,00",nan,nan,"6.982,35","0,00","0,00","0,00","0,00"
29.08.2024,"7.000,00",nan,nan,"6.982,35","0,00","0,00","0,00","0,00"
27.08.2024,"7.000,00","7.000,00","6.900,00","6.982,35","1,93","34,00","237.400,00","237.400,00"
26.08.2024,"6.850,00",nan,nan,"6.850,00","0,00","0,00","0,00","0,00"
23.08.2024,"6.850,00",nan,nan,"6.850,00","0,00","0,00","0,00","0,00"
22.08.2024,"6.850,00","6.850,00","6.850,00","6.850,00","-0,72","30,00","205.500,00","205.500,00"
21.08.2024,"6.900,00",nan,nan,"6.900,00","0,00","0,00","0,00","0,00"
20.08.2024,"6.900,00","6.900,00","6.900,00","6.900,00","-0,73","50,00","345.000,00","345.000,00"
19.08.2024,"6.951,00",nan,nan,"6.950,72","0,00","0,00","0,00","0,00"
16.08.2024,"6.951,00",nan,nan,"6.950,72","0,00","0,00","0,00","0,00"
15.08.2024,"6.951,00","6.951,00","6.950,00","6.950,72","0,01","36,00","250.226,00","250.226,00"
14.08.2024,"6.950,00","6.950,00","6.950,00","6.950,00","-0,56","59,00","410.050,00","410.050,00"
13.08.2024,"6.950,00",nan,nan,"6.989,00","0,00","0,00","0,00","0,00"
12.08.2024,"6.950,00","7.000,00","6.950,00","6.989,00","1,11","50,00","349.450,00","349.450,00"
09.08.2024,"6.900,00","7.100,00","6.900,00","6.912,50","-1,24","16,00","110.600,00","110.600,00"
08.08.2024,"6.999,00","6.999,00","6.999,00","6.999,00","-0,01","20,00","139.980,00","139.980,00"
07.08.2024,"7.000,00","7.000,00","7.000,00","7.000,00","0,00","62,00","434.000,00","434.000,00"
06.08.2024,"7.000,00",nan,nan,"7.000,00","0,00","0,00","0,00","0,00"
05.08.2024,"7.000,00","7.000,00","7.000,00","7.000,00","-2,20","40,00","280.000,00","280.000,00"
01.08.2024,"7.150,00","7.190,00","7.150,00","7.157,75","-0,45","71,00","508.200,00","508.200,00"
31.07.2024,"7.190,00","7.190,00","7.190,00","7.190,00","0,00","50,00","359.500,00","359.500,00"
30.07.2024,"7.190,00","7.190,00","7.190,00","7.190,00","0,00","50,00","359.500,00","359.500,00"
29.07.2024,"7.200,00","7.200,00","7.180,00","7.190,22","0,14","92,00","661.500,00","661.500,00"
26.07.2024,"7.180,00","7.180,00","7.180,00","7.180,00","-0,26","60,00","430.800,00","430.800,00"
25.07.2024,"7.199,00","7.199,00","7.199,00","7.199,00","-0,01","5,00","35.995,00","35.995,00"
24.07.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00","10,00","72.000,00","72.000,00"
23.07.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00","4,00","28.800,00","28.800,00"
22.07.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,70","20,00","144.000,00","144.000,00"
19.07.2024,"7.150,00",nan,nan,"7.150,00","0,00","0,00","0,00","0,00"
18.07.2024,"7.150,00","7.150,00","7.150,00","7.150,00","2,88","3,00","21.450,00","21.450,00"
17.07.2024,"6.950,00","6.950,00","6.950,00","6.950,00","-0,71","32,00","222.400,00","222.400,00"
16.07.2024,"7.000,00","7.000,00","7.000,00","7.000,00","0,36","10,00","70.000,00","70.000,00"
15.07.2024,"7.000,00",nan,nan,"6.975,00","0,00","0,00","0,00","0,00"
12.07.2024,"7.000,00",nan,nan,"6.975,00","0,00","0,00","0,00","0,00"
11.07.2024,"7.000,00","7.000,00","6.950,00","6.975,00","0,36","20,00","139.500,00","139.500,00"
10.07.2024,"6.950,00",nan,nan,"6.950,00","0,00","0,00","0,00","0,00"
09.07.2024,"6.950,00",nan,nan,"6.950,00","0,00","0,00","0,00","0,00"
08.07.2024,"6.950,00",nan,nan,"6.950,00","0,00","0,00","0,00","0,00"
